id,category_l1,category_l2,category_l3,scope,priority,question,question_aliases,answer_short,answer_detail,answer_format,keywords,tags,entities,related_ids,difficulty,era_start,era_end,region,language,fact_type,confidence,source_type,source_ref,content_flags,updated_at
WC-PLCO-00001,球员与教练,球王与GOAT,GOAT含义,world_cup,4,足球GOAT指什么?,GOAT含义|史上最佳,GOAT为Greatest of All Time缩写，指史上最佳球员讨论。,常识库只陈述纪录与荣誉，不给出主观排名结论。,fact,"GOAT,史上最佳,缩写,讨论","球员,球王,GOAT",,,入门,,,,zh-CN,bio,official,historical_record,FIFA World Cup official statistics and historical archives,,2026-06-04
WC-PLCO-00002,球员与教练,球王与GOAT,贝利冠军数,world_cup,4,贝利拿过几届世界杯冠军?,贝利三冠,贝利1958、1962、1970年三次夺得世界杯冠军。,为唯一三夺世界杯冠军的球员之一。,fact,"贝利,三冠,1958,1970","球员,球王,GOAT",player:贝利,,入门,1958,1970,南美,zh-CN,record,official,historical_record,FIFA World Cup official statistics and historical archives,,2026-06-04
WC-PLCO-00003,球员与教练,球王与GOAT,贝利1958,world_cup,4,贝利1958年世界杯表现?,贝利1958,贝利1958年瑞典世界杯决赛梅开二度，年仅17岁。,帮助巴西首次夺得世界杯冠军。,fact,"贝利,1958,瑞典,17岁","球员,球王,GOAT",player:贝利,,入门,1958,1958,南美,zh-CN,bio,official,historical_record,FIFA World Cup official statistics and historical archives,,2026-06-04
WC-PLCO-00004,球员与教练,球王与GOAT,马拉多纳1986,world_cup,4,马拉多纳1986年世界杯角色?,马拉多纳1986,马拉多纳1986年墨西哥世界杯率阿根廷夺冠并获金球。,对英格兰进球含著名手球进球。,fact,"马拉多纳,1986,墨西哥,金球","球员,球王,GOAT",player:马拉多纳,,入门,1986,1986,南美,zh-CN,bio,official,historical_record,FIFA World Cup official statistics and historical archives,,2026-06-04
WC-PLCO-00005,球员与教练,球王与GOAT,马拉多纳进球,world_cup,4,马拉多纳世界杯进了多少球?,马拉多纳进球,马拉多纳世界杯共打入8球。,另有8次助攻，数据为国际足联统计口径。,fact,"马拉多纳,8球,助攻,世界杯","球员,球王,GOAT",player:马拉多纳,,入门,,,南美,zh-CN,stat,official,historical_record,FIFA World Cup official statistics and historical archives,,2026-06-04
WC-PLCO-00006,球员与教练,球王与GOAT,梅西2022夺冠,world_cup,4,梅西何时夺得世界杯冠军?,梅西2022夺冠,梅西2022年卡塔尔世界杯率阿根廷夺冠。,此前四次参赛均未夺冠，2022为生涯首冠。,fact,"梅西,2022,卡塔尔,首冠","球员,球王,GOAT",player:梅西|tournament:2022年卡塔尔世界杯,,入门,2022,2022,南美,zh-CN,bio,official,historical_record,FIFA World Cup official statistics and historical archives,,2026-06-04
WC-PLCO-00007,球员与教练,球王与GOAT,梅西世界杯进球,world_cup,4,梅西世界杯总进球多少?,梅西世界杯进球,梅西世界杯决赛圈共打入13球。,2022年决赛打入个人世界杯第13球。,fact,"梅西,13球,2022,总进球","球员,球王,GOAT",player:梅西,,入门,,,南美,zh-CN,stat,official,historical_record,FIFA World Cup official statistics and historical archives,,2026-06-04
WC-PLCO-00008,球员与教练,球王与GOAT,梅西参赛届数,world_cup,4,梅西参加过几届世界杯?,梅西五届,梅西2006至2022年共参加五届世界杯。,2022年夺冠后宣布从国家队退役（后复出以官方为准）。,fact,"梅西,五届,2006,2022","球员,球王,GOAT",player:梅西,,入门,2006,2022,南美,zh-CN,record,official,historical_record,FIFA World Cup official statistics and historical archives,,2026-06-04
WC-PLCO-00009,球员与教练,球王与GOAT,C罗世界杯,world_cup,4,C罗有世界杯冠军吗?,C罗无冠,C罗迄今未夺得世界杯冠军。,2006至2022年五次参赛，2022年葡萄牙八强出局。,fact,"C罗,无冠,葡萄牙,五届","球员,球王,GOAT",player:C罗,,入门,2006,2022,欧洲,zh-CN,record,official,historical_record,FIFA World Cup official statistics and historical archives,,2026-06-04
WC-PLCO-00010,球员与教练,球王与GOAT,大罗世界杯,world_cup,4,罗纳尔多参加过几届世界杯?,大罗世界杯,罗纳尔多1994、1998、2002、2006年四次参加世界杯。,1998年决赛前伤病，2002年夺冠并获金靴。,fact,"罗纳尔多,四届,1998,2002","球员,球王,GOAT",player:罗纳尔多,,入门,1994,2006,南美,zh-CN,record,official,historical_record,FIFA World Cup official statistics and historical archives,,2026-06-04
WC-PLCO-00011,球员与教练,球王与GOAT,大罗2002,world_cup,4,罗纳尔多2002年世界杯表现?,大罗2002,罗纳尔多2002年韩日世界杯打入8球获金靴并夺冠。,决赛两球击败德国。,fact,"罗纳尔多,2002,金靴,8球","球员,球王,GOAT",player:罗纳尔多|tournament:2002年韩日世界杯,,入门,2002,2002,南美,zh-CN,bio,official,historical_record,FIFA World Cup official statistics and historical archives,,2026-06-04
WC-PLCO-00012,球员与教练,球王与GOAT,克洛泽纪录,world_cup,4,世界杯历史进球王是谁?,克洛泽进球王,克洛泽世界杯打入16球，为历史最多。,2014年巴西世界杯超越罗纳尔多纪录。,fact,"克洛泽,16球,进球王,2014","球员,球王,GOAT",player:克洛泽,,入门,,,欧洲,zh-CN,stat,official,historical_record,FIFA World Cup official statistics and historical archives,,2026-06-04
WC-PLCO-00013,球员与教练,球王与GOAT,方丹纪录,world_cup,4,单届世界杯进球纪录?,方丹13球,方丹1958年瑞典世界杯打入13球，为单届纪录。,法国当届获季军。,fact,"方丹,13球,1958,单届","球员,球王,GOAT",player:方丹,,入门,1958,1958,欧洲,zh-CN,stat,official,historical_record,FIFA World Cup official statistics and historical archives,,2026-06-04
WC-PLCO-00014,球员与教练,球王与GOAT,穆勒世界杯,world_cup,4,盖德穆勒世界杯进球?,穆勒世界杯,盖德穆勒世界杯打入10球。,1970年夺冠，1974年未参赛。,fact,"盖德穆勒,10球,1970,德国","球员,球王,GOAT",player:盖德·穆勒,,入门,,,欧洲,zh-CN,stat,official,historical_record,FIFA World Cup official statistics and historical archives,,2026-06-04
WC-PLCO-00015,球员与教练,球王与GOAT,克鲁伊夫无冠,world_cup,4,克鲁伊夫有世界杯冠军吗?,克鲁伊夫无冠,克鲁伊夫未参加1974年荷兰获亚军的当届世界杯。,1978年荷兰再获亚军时他已退出国家队。,fact,"克鲁伊夫,无冠,1974,荷兰","球员,球王,GOAT",player:克鲁伊夫,,入门,,,欧洲,zh-CN,record,official,historical_record,FIFA World Cup official statistics and historical archives,,2026-06-04
WC-PLCO-00016,球员与教练,球王与GOAT,齐达内1998,world_cup,4,齐达内1998年世界杯表现?,齐达内1998,齐达内1998年法国世界杯决赛两记头球助法国夺冠。,当选当届世界杯金球奖。,fact,"齐达内,1998,决赛,金球","球员,球王,GOAT",player:齐达内,,入门,1998,1998,欧洲,zh-CN,bio,official,historical_record,FIFA World Cup official statistics and historical archives,,2026-06-04
WC-PLCO-00017,球员与教练,球王与GOAT,齐达内2006,world_cup,4,齐达内2006年世界杯结局?,齐达内2006,齐达内2006年决赛加时头顶马特拉齐被红牌，法国点球负意大利。,仍获当届世界杯金球奖。,fact,"齐达内,2006,红牌,意大利","球员,球王,GOAT",player:齐达内,,入门,2006,2006,欧洲,zh-CN,bio,official,historical_record,FIFA World Cup official statistics and historical archives,,2026-06-04
WC-PLCO-00018,球员与教练,球王与GOAT,贝肯鲍尔,world_cup,4,贝肯鲍尔世界杯成就?,贝肯鲍尔,贝肯鲍尔1974年以西德队长身份夺得世界杯冠军。,后亦以教练身份率德国夺冠。,fact,"贝肯鲍尔,1974,队长,冠军","球员,球王,GOAT",player:贝肯鲍尔,,入门,1974,1974,欧洲,zh-CN,bio,official,historical_record,FIFA World Cup official statistics and historical archives,,2026-06-04
WC-PLCO-00019,球员与教练,球王与GOAT,马特乌斯出场,world_cup,4,马特乌斯世界杯出场纪录?,马特乌斯出场,马特乌斯世界杯出场25场，为历史最多之一。,1986年获金球，1990年率德国夺冠。,fact,"马特乌斯,25场,出场,1990","球员,球王,GOAT",player:马特乌斯,,进阶,,,欧洲,zh-CN,stat,official,historical_record,FIFA World Cup official statistics and historical archives,,2026-06-04
WC-PLCO-00020,球员与教练,球王与GOAT,姆巴佩2018,world_cup,4,姆巴佩2018年世界杯表现?,姆巴佩2018,姆巴佩2018年法国世界杯打入4球并夺冠。,当时年仅19岁，为法国关键进攻点。,fact,"姆巴佩,2018,4球,夺冠","球员,球王,GOAT",player:姆巴佩,,入门,2018,2018,欧洲,zh-CN,bio,official,historical_record,FIFA World Cup official statistics and historical archives,,2026-06-04
WC-PLCO-00021,球员与教练,球王与GOAT,姆巴佩2022,world_cup,4,姆巴佩2022年世界杯表现?,姆巴佩2022,姆巴佩2022年决赛打入帽子戏法，法国仍点球负阿根廷获亚军。,当届打入8球获金靴。,fact,"姆巴佩,2022,帽子戏法,金靴","球员,球王,GOAT",player:姆巴佩|player:梅西,,入门,2022,2022,欧洲,zh-CN,bio,official,historical_record,FIFA World Cup official statistics and historical archives,,2026-06-04
WC-PLCO-00022,球员与教练,球王与GOAT,三冠球员,world_cup,4,哪些球员三夺世界杯冠军?,三冠球员,贝利、卡福、佩佩等巴西球员曾三夺世界杯冠军。,以国际足联官方冠军名单为准。,fact,"三冠,贝利,卡福,巴西","球员,球王,GOAT",player:贝利|player:卡福,,进阶,,,南美,zh-CN,record,official,historical_record,FIFA World Cup official statistics and historical archives,,2026-06-04
WC-PLCO-00023,球员与教练,球王与GOAT,梅西C罗对比,world_cup,4,梅西与C罗世界杯成绩对比?,梅西C罗对比,梅西2022年夺冠，世界杯13球；C罗五次参赛未夺冠。,本条仅列数据，不评价孰强孰弱。,comparison,"梅西,C罗,对比,数据","球员,球王,GOAT",player:梅西|player:C罗,,入门,,,全球,zh-CN,stat,official,historical_record,FIFA World Cup official statistics and historical archives,,2026-06-04
WC-PLCO-00024,球员与教练,球王与GOAT,贝利马拉多纳,world_cup,4,贝利与马拉多纳世界杯对比?,贝利马拉多纳,贝利三冠，马拉多纳一冠；贝利进球更多，马拉多纳1986统治力突出。,两人代表不同年代阿根廷与巴西足球。,comparison,"贝利,马拉多纳,对比,三冠","球员,球王,GOAT",player:贝利|player:马拉多纳,,入门,,,南美,zh-CN,stat,official,historical_record,FIFA World Cup official statistics and historical archives,,2026-06-04
WC-PLCO-00025,球员与教练,球王与GOAT,马拉多纳手球,world_cup,4,马拉多纳上帝之手是哪场?,上帝之手,1986年四分之一决赛阿根廷对英格兰，马拉多纳用手攻入一球。,同场另有连过数人的进球，称世纪进球。,fact,"上帝之手,1986,英格兰,马拉多纳","球员,球王,GOAT",player:马拉多纳|team:阿根廷|team:英格兰,,入门,1986,1986,南美,zh-CN,history,official,historical_record,FIFA World Cup official statistics and historical archives,,2026-06-04
