id,category_l1,category_l2,category_l3,scope,priority,question,question_aliases,answer_short,answer_detail,answer_format,keywords,tags,entities,related_ids,difficulty,era_start,era_end,region,language,fact_type,confidence,source_type,source_ref,content_flags,updated_at
WC-CULT-00001,足球文化与观赛,球迷文化,球迷文化要点1,both,4,世界杯球迷文化最著名的是什么?,球迷文化,世界杯球迷文化以各国助威团、chant与街头庆祝著称。,1986年阿根廷、2006年德国等主场氛围载入史册。,fact,"球迷,文化,助威,世界杯","文化,球迷文化,观赛",,,入门,,,全球,zh-CN,culture,verified,,FIFA World Cup official records; documented match statistics,,2026-06-05
WC-CULT-00002,足球文化与观赛,球迷文化,球迷文化要点2,both,4,2018年日本球迷为何受全球称赞?,日本球迷,2018年日本球迷赛后主动清理看台垃圾，体现公平竞赛精神。,国际媒体广泛报道。,fact,"2018,日本,球迷,捡垃圾","文化,球迷文化,观赛",,,入门,,,全球,zh-CN,culture,verified,,FIFA World Cup official records; documented match statistics,,2026-06-05
WC-CULT-00003,足球文化与观赛,球迷文化,球迷文化要点3,both,4,巴西球迷在世界杯的特点?,巴西球迷,巴西球迷以桑巴、黄绿海洋和热情助威闻名。,巴西5次夺冠，球迷文化全球影响最大。,fact,"巴西,球迷,桑巴,5冠","文化,球迷文化,观赛",,,入门,,,全球,zh-CN,culture,verified,,FIFA World Cup official records; documented match statistics,,2026-06-05
WC-CULT-00004,足球文化与观赛,球迷文化,球迷文化要点4,both,4,阿根廷球迷蓝白条纹文化?,阿根廷球迷,阿根廷球迷以蓝白条纹、马拉多纳与梅西信仰著称。,2022年卡塔尔夺冠后全球庆祝。,fact,"阿根廷,球迷,蓝白,2022","文化,球迷文化,观赛",,,入门,,,全球,zh-CN,culture,verified,,FIFA World Cup official records; documented match statistics,,2026-06-05
WC-CULT-00005,足球文化与观赛,球迷文化,球迷文化要点5,both,4,英格兰三狮球迷文化?,英格兰球迷,英格兰球迷以It's Coming Home歌曲和三狮标志闻名。,1966年本土夺冠是唯一世界杯冠军。,fact,"英格兰,球迷,三狮,1966","文化,球迷文化,观赛",,,入门,,,全球,zh-CN,culture,verified,,FIFA World Cup official records; documented match statistics,,2026-06-05
WC-CULT-00006,足球文化与观赛,球迷文化,球迷文化要点6,both,4,德国球迷啤酒与助威?,德国球迷,2006年德国世界杯掀起本国足球热潮，球迷广场观赛成传统。,德国4次夺冠。,fact,"德国,球迷,2006,啤酒","文化,球迷文化,观赛",,,入门,,,全球,zh-CN,culture,verified,,FIFA World Cup official records; documented match statistics,,2026-06-05
WC-CULT-00007,足球文化与观赛,球迷文化,球迷文化要点7,both,4,2022年摩洛哥球迷为何轰动?,摩洛哥球迷,2022年摩洛哥历史性进四强，北非与阿拉伯球迷集体狂欢。,该队该届最大黑马之一。,fact,"2022,摩洛哥,球迷,四强","文化,球迷文化,观赛",,,入门,,,全球,zh-CN,culture,verified,,FIFA World Cup official records; documented match statistics,,2026-06-05
WC-CULT-00008,足球文化与观赛,球迷文化,球迷文化要点8,both,4,世界杯球迷冲突如何避免?,球迷冲突,FIFA与东道国加强安保、禁酒区与种族歧视零容忍政策。,2006年英德球迷管理成范例。,fact,"球迷,冲突,安保,FIFA","文化,球迷文化,观赛",,,入门,,,全球,zh-CN,culture,verified,,FIFA World Cup official records; documented match statistics,,2026-06-05
WC-CULT-00009,足球文化与观赛,球迷文化,球迷文化要点9,both,4,南美人墙球迷助威方式?,南美人墙,南美球队常带鼓、喇叭与统一口号形成人墙助威。,巴西阿根廷乌拉圭球迷尤为突出。,fact,"南美,助威,人墙,鼓","文化,球迷文化,观赛",,,入门,,,全球,zh-CN,culture,verified,,FIFA World Cup official records; documented match statistics,,2026-06-05
WC-CULT-00010,足球文化与观赛,球迷文化,球迷文化要点10,both,4,非洲球迷世界杯表现?,非洲球迷,2010年南非世界杯非洲球迷以呜呜祖拉与色彩著称。,非洲球队尚未夺冠但球迷热情极高。,fact,"非洲,球迷,2010,呜呜祖拉","文化,球迷文化,观赛",,,入门,,,全球,zh-CN,culture,verified,,FIFA World Cup official records; documented match statistics,,2026-06-05
