knowledge_id,source_url,collected_at,rewrite_mode,fetch_method,notes
WC-CLUB-00001,,2026-06-05,local_structured,none,v1 local structured batch; source_ref=Premier League official records; FIFA World Cup statistics
WC-CLUB-00002,,2026-06-05,local_structured,none,v1 local structured batch; source_ref=Premier League official records; FIFA World Cup statistics
WC-CLUB-00003,,2026-06-05,local_structured,none,v1 local structured batch; source_ref=Premier League official records; FIFA World Cup statistics
WC-CLUB-00004,,2026-06-05,local_structured,none,v1 local structured batch; source_ref=Premier League official records; FIFA World Cup statistics
WC-CLUB-00005,,2026-06-05,local_structured,none,v1 local structured batch; source_ref=Premier League official records; FIFA World Cup statistics
WC-CLUB-00006,,2026-06-05,local_structured,none,v1 local structured batch; source_ref=Premier League official records; FIFA World Cup statistics
WC-CLUB-00007,,2026-06-05,local_structured,none,v1 local structured batch; source_ref=Premier League official records; FIFA World Cup statistics
WC-CLUB-00008,,2026-06-05,local_structured,none,v1 local structured batch; source_ref=Premier League official records; FIFA World Cup statistics
WC-CLUB-00009,,2026-06-05,local_structured,none,v1 local structured batch; source_ref=Premier League official records; FIFA World Cup statistics
WC-CLUB-00010,,2026-06-05,local_structured,none,v1 local structured batch; source_ref=Premier League official records; FIFA World Cup statistics
WC-CLUB-00011,,2026-06-05,local_structured,none,v1 local structured batch; source_ref=Premier League official records; FIFA World Cup statistics
WC-CLUB-00012,,2026-06-05,local_structured,none,v1 local structured batch; source_ref=Premier League official records; FIFA World Cup statistics
WC-CLUB-00013,,2026-06-05,local_structured,none,v1 local structured batch; source_ref=Premier League official records; FIFA World Cup statistics
WC-CLUB-00014,,2026-06-05,local_structured,none,v1 local structured batch; source_ref=Premier League official records; FIFA World Cup statistics
WC-CLUB-00015,,2026-06-05,local_structured,none,v1 local structured batch; source_ref=Premier League official records; FIFA World Cup statistics
WC-CLUB-00016,,2026-06-05,local_structured,none,v1 local structured batch; source_ref=Premier League official records; FIFA World Cup statistics
WC-CLUB-00017,,2026-06-05,local_structured,none,v1 local structured batch; source_ref=Premier League official records; FIFA World Cup statistics
WC-CLUB-00018,,2026-06-05,local_structured,none,v1 local structured batch; source_ref=Premier League official records; FIFA World Cup statistics
WC-CLUB-00019,,2026-06-05,local_structured,none,v1 local structured batch; source_ref=Premier League official records; FIFA World Cup statistics
WC-CLUB-00020,,2026-06-05,local_structured,none,v1 local structured batch; source_ref=Premier League official records; FIFA World Cup statistics
WC-CLUB-00021,,2026-06-05,local_structured,none,v1 local structured batch; source_ref=Premier League official records; FIFA World Cup statistics
WC-CLUB-00022,,2026-06-05,local_structured,none,v1 local structured batch; source_ref=Premier League official records; FIFA World Cup statistics
WC-CLUB-00023,,2026-06-05,local_structured,none,v1 local structured batch; source_ref=Premier League official records; FIFA World Cup statistics
WC-CLUB-00024,,2026-06-05,local_structured,none,v1 local structured batch; source_ref=Premier League official records; FIFA World Cup statistics
WC-CLUB-00025,,2026-06-05,local_structured,none,v1 local structured batch; source_ref=Premier League official records; FIFA World Cup statistics
WC-CLUB-00026,,2026-06-05,local_structured,none,v1 local structured batch; source_ref=Premier League official records; FIFA World Cup statistics
WC-CLUB-00027,,2026-06-05,local_structured,none,v1 local structured batch; source_ref=Premier League official records; FIFA World Cup statistics
WC-CLUB-00028,,2026-06-05,local_structured,none,v1 local structured batch; source_ref=Premier League official records; FIFA World Cup statistics
WC-CLUB-00029,,2026-06-05,local_structured,none,v1 local structured batch; source_ref=Premier League official records; FIFA World Cup statistics
WC-CLUB-00030,,2026-06-05,local_structured,none,v1 local structured batch; source_ref=Premier League official records; FIFA World Cup statistics
WC-CLUB-00031,,2026-06-05,local_structured,none,v1 local structured batch; source_ref=Premier League official records; FIFA World Cup statistics
WC-CLUB-00032,,2026-06-05,local_structured,none,v1 local structured batch; source_ref=Premier League official records; FIFA World Cup statistics
WC-CLUB-00033,,2026-06-05,local_structured,none,v1 local structured batch; source_ref=Premier League official records; FIFA World Cup statistics
WC-CLUB-00034,,2026-06-05,local_structured,none,v1 local structured batch; source_ref=Premier League official records; FIFA World Cup statistics
WC-CLUB-00035,,2026-06-05,local_structured,none,v1 local structured batch; source_ref=Premier League official records; FIFA World Cup statistics
WC-CLUB-00036,,2026-06-05,local_structured,none,v1 local structured batch; source_ref=Premier League official records; FIFA World Cup statistics
WC-CLUB-00037,,2026-06-05,local_structured,none,v1 local structured batch; source_ref=Premier League official records; FIFA World Cup statistics
WC-CLUB-00038,,2026-06-05,local_structured,none,v1 local structured batch; source_ref=Premier League official records; FIFA World Cup statistics
WC-CLUB-00039,,2026-06-05,local_structured,none,v1 local structured batch; source_ref=Premier League official records; FIFA World Cup statistics
WC-CLUB-00040,,2026-06-05,local_structured,none,v1 local structured batch; source_ref=Premier League official records; FIFA World Cup statistics
