id,category_l1,category_l2,category_l3,scope,priority,question,question_aliases,answer_short,answer_detail,answer_format,keywords,tags,entities,related_ids,difficulty,era_start,era_end,region,language,fact_type,confidence,source_type,source_ref,content_flags,updated_at
WC-RECD-00001,纪录与统计,总进球纪录,克洛泽,both,4,世界杯历史总进球王是谁?,克洛泽,米罗斯拉夫·克洛泽以16球保持世界杯历史射手王纪录,米罗斯拉夫·克洛泽以16球保持世界杯历史射手王纪录。,fact,"克洛泽,总进球纪录,纪录,世界杯","纪录,总进球纪录,统计",,,入门,,,全球,zh-CN,record,verified,,FIFA World Cup official records; documented match statistics,,2026-06-05
WC-RECD-00002,纪录与统计,总进球纪录,罗纳尔多,both,4,世界杯罗纳尔多世界杯进球?,罗纳尔多,罗纳尔多15球曾长期保持纪录直至克洛泽超越,罗纳尔多15球曾长期保持纪录直至克洛泽超越。,fact,"罗纳尔多,总进球纪录,纪录,世界杯","纪录,总进球纪录,统计",,,入门,,,全球,zh-CN,record,verified,,FIFA World Cup official records; documented match statistics,,2026-06-05
WC-RECD-00003,纪录与统计,总进球纪录,梅西,both,4,世界杯梅西世界杯总进球?,梅西,梅西2022年夺冠后世界杯总进球7球,梅西2022年夺冠后世界杯总进球7球。,fact,"梅西,总进球纪录,纪录,世界杯","纪录,总进球纪录,统计",,,入门,,,全球,zh-CN,record,verified,,FIFA World Cup official records; documented match statistics,,2026-06-05
WC-RECD-00004,纪录与统计,总进球纪录,穆勒,both,4,世界杯盖德穆勒世界杯进球?,穆勒,盖德穆勒14球1974年前保持纪录,盖德穆勒14球1974年前保持纪录。,fact,"穆勒,总进球纪录,纪录,世界杯","纪录,总进球纪录,统计",,,入门,,,全球,zh-CN,record,verified,,FIFA World Cup official records; documented match statistics,,2026-06-05
WC-RECD-00005,纪录与统计,总进球纪录,方丹,both,4,世界杯方丹单届13球?,方丹,方丹1958年单届13球仍为单届纪录,方丹1958年单届13球仍为单届纪录。,fact,"方丹,总进球纪录,纪录,世界杯","纪录,总进球纪录,统计",,,入门,,,全球,zh-CN,record,verified,,FIFA World Cup official records; documented match statistics,,2026-06-05
WC-RECD-00006,纪录与统计,总进球纪录,贝利,both,4,世界杯贝利世界杯进球?,贝利,贝利共12球三届夺冠,贝利共12球三届夺冠。,fact,"贝利,总进球纪录,纪录,世界杯","纪录,总进球纪录,统计",,,入门,,,全球,zh-CN,record,verified,,FIFA World Cup official records; documented match statistics,,2026-06-05
WC-RECD-00007,纪录与统计,总进球纪录,姆巴佩,both,4,世界杯姆巴佩世界杯进球?,姆巴佩,姆巴佩2018-2022两届共12球,姆巴佩2018-2022两届共12球。,fact,"姆巴佩,总进球纪录,纪录,世界杯","纪录,总进球纪录,统计",,,入门,,,全球,zh-CN,record,verified,,FIFA World Cup official records; documented match statistics,,2026-06-05
WC-RECD-00008,纪录与统计,总进球纪录,克林斯曼,both,4,世界杯克林斯曼进球纪录?,克林斯曼,克林斯曼11球德国传奇前锋,克林斯曼11球德国传奇前锋。,fact,"克林斯曼,总进球纪录,纪录,世界杯","纪录,总进球纪录,统计",,,入门,,,全球,zh-CN,record,verified,,FIFA World Cup official records; documented match statistics,,2026-06-05
WC-RECD-00009,纪录与统计,总进球纪录,巴蒂斯图塔,both,4,世界杯巴蒂世界杯进球?,巴蒂斯图塔,巴蒂斯图塔10球阿根廷战神,巴蒂斯图塔10球阿根廷战神。,fact,"巴蒂斯图塔,总进球纪录,纪录,世界杯","纪录,总进球纪录,统计",,,入门,,,全球,zh-CN,record,verified,,FIFA World Cup official records; documented match statistics,,2026-06-05
WC-RECD-00010,纪录与统计,总进球纪录,苏克,both,4,世界杯苏克世界杯进球?,苏克,苏克6球1998年金靴,苏克6球1998年金靴。,fact,"苏克,总进球纪录,纪录,世界杯","纪录,总进球纪录,统计",,,入门,,,全球,zh-CN,record,verified,,FIFA World Cup official records; documented match statistics,,2026-06-05
