id,category_l1,category_l2,category_l3,scope,priority,question,question_aliases,answer_short,answer_detail,answer_format,keywords,tags,entities,related_ids,difficulty,era_start,era_end,region,language,fact_type,confidence,source_type,source_ref,content_flags,updated_at
WC-WHIS-00001,世界杯历史概览,创立与早期,1930年主办国,world_cup,5,1930年世界杯在哪办?,1930 host,1930年世界杯在乌拉圭举办，为首届男子世界杯。,蒙得维的亚承办，庆祝乌拉圭独立百年。,fact,"1930,乌拉圭,主办,首届","历史,创立,早期",,,入门,1930,1930,全球,zh-CN,history,official,historical_record,FIFA World Cup official history / historical records,,2026-06-03
WC-WHIS-00002,世界杯历史概览,创立与早期,1930年冠军,world_cup,5,首届世界杯谁夺冠?,1930 winner,乌拉圭队首届世界杯夺冠，决赛4比2击败阿根廷。,东道主夺冠，奠定早期南美强势格局。,fact,"1930,乌拉圭,冠军,阿根廷","历史,创立,早期",,,入门,1930,1930,全球,zh-CN,history,official,historical_record,FIFA World Cup official history / historical records,,2026-06-03
WC-WHIS-00003,世界杯历史概览,创立与早期,1930年参赛队,world_cup,5,首届有多少队参赛?,1930 teams,首届世界杯共13支球队参赛。,欧洲仅四队长途赴南美，规模小于后来届次。,fact,"1930,13队,参赛,规模","历史,创立,早期",,,入门,1930,1930,全球,zh-CN,history,official,historical_record,FIFA World Cup official history / historical records,,2026-06-03
WC-WHIS-00004,世界杯历史概览,创立与早期,1930年决赛,world_cup,5,首届世界杯决赛结果?,1930 final,决赛乌拉圭4比2胜阿根廷，于蒙得维的亚举行。,为世界杯史上首场冠军争夺战。,fact,"1930,决赛,乌拉圭,阿根廷","历史,创立,早期",,,入门,1930,1930,全球,zh-CN,history,official,historical_record,FIFA World Cup official history / historical records,,2026-06-03
WC-WHIS-00005,世界杯历史概览,创立与早期,1930年金靴,world_cup,5,首届世界杯射手王?,1930 scorer,阿根廷斯塔比莱8球为当届最佳射手（后由档案认定）。,当时尚未设立官方金靴奖。,fact,"1930,斯塔比莱,射手,8球","历史,创立,早期",,,入门,1930,1930,全球,zh-CN,history,official,historical_record,FIFA World Cup official history / historical records,,2026-06-03
WC-WHIS-00006,世界杯历史概览,创立与早期,1930年首球,world_cup,5,世界杯历史第一球?,first WC goal,1930年7月13日法国劳伦特攻入世界杯史上首球。,对阵墨西哥，载入FIFA官方历史记录。,fact,"首球,劳伦特,1930,法国","历史,创立,早期",,,入门,1930,1930,全球,zh-CN,history,official,historical_record,FIFA World Cup official history / historical records,,2026-06-03
WC-WHIS-00007,世界杯历史概览,创立与早期,世纪球场,world_cup,5,首届决赛在哪座球场?,Centenario,决赛在蒙得维的亚世纪球场举行，为百年庆典而建。,该球场至今为乌拉圭足球地标。,fact,"Centenario,球场,1930,决赛","历史,创立,早期",,,入门,1930,1930,全球,zh-CN,history,official,historical_record,FIFA World Cup official history / historical records,,2026-06-03
WC-WHIS-00008,世界杯历史概览,创立与早期,1930无预选赛,world_cup,5,首届如何确定参赛队?,1930 qualifiers,首届无预选赛，由FIFA邀请会员协会参赛。,部分欧洲球队因长途旅行一度犹豫。,fact,"1930,邀请,无预选赛,FIFA","历史,创立,早期",,,进阶,1930,1930,全球,zh-CN,history,official,historical_record,FIFA World Cup official history / historical records,,2026-06-03
WC-WHIS-00009,世界杯历史概览,创立与早期,1930南美主导,world_cup,5,首届为何南美球队多?,1930 South America,多数参赛队来自南美，欧洲仅四队跨洋参赛。,反映早期足球重心与交通成本。,fact,"1930,南美,欧洲,参赛","历史,创立,早期",,,入门,1930,1930,全球,zh-CN,history,official,historical_record,FIFA World Cup official history / historical records,,2026-06-03
WC-WHIS-00010,世界杯历史概览,创立与早期,雷米特创设,world_cup,5,谁推动首届世界杯?,Rimet founding,法国人朱尔·雷米特推动世界杯设立，1930年首届落地。,雷米特杯即以他命名。,timeline,"雷米特,创设,1930,FIFA","历史,创立,早期",,,入门,1930,1934,全球,zh-CN,history,official,historical_record,FIFA World Cup official history / historical records,,2026-06-03
