id,category_l1,category_l2,category_l3,scope,priority,question,question_aliases,answer_short,answer_detail,answer_format,keywords,tags,entities,related_ids,difficulty,era_start,era_end,region,language,fact_type,confidence,source_type,source_ref,content_flags,updated_at
WC-WWC-00001,女子世界杯,女足世界杯历史,女足世界杯历史要点1,both,4,首届女足世界杯哪年?,首届女足,1991年中国举办首届女足世界杯，美国夺冠。,比男足世界杯晚61年。,fact,"1991,女足,首届,美国","女足,女足世界杯历史,世界杯",,,入门,,,全球,zh-CN,history,verified,,FIFA World Cup official records; documented match statistics,,2026-06-05
WC-WWC-00002,女子世界杯,女足世界杯历史,女足世界杯历史要点2,both,4,女足世界杯多少届了?,女足届数,至2023年已办9届女足世界杯。,1991起每四年一届。,fact,"女足,届数,世界杯,历史","女足,女足世界杯历史,世界杯",,,入门,,,全球,zh-CN,history,verified,,FIFA World Cup official records; documented match statistics,,2026-06-05
WC-WWC-00003,女子世界杯,女足世界杯历史,女足世界杯历史要点3,both,4,女足世界杯最早冠军?,最早冠军,1991年、1999年美国两次早期夺冠，建立女足霸主地位。,美国共4次夺冠。,fact,"美国,1991,女足,冠军","女足,女足世界杯历史,世界杯",,,入门,,,全球,zh-CN,history,verified,,FIFA World Cup official records; documented match statistics,,2026-06-05
WC-WWC-00004,女子世界杯,女足世界杯历史,女足世界杯历史要点4,both,4,中国举办过女足世界杯吗?,中国主办,1991年与2007年中国两次主办女足世界杯。,2007年挪威夺冠。,fact,"中国,主办,1991,2007","女足,女足世界杯历史,世界杯",,,入门,,,全球,zh-CN,history,verified,,FIFA World Cup official records; documented match statistics,,2026-06-05
WC-WWC-00005,女子世界杯,女足世界杯历史,女足世界杯历史要点5,both,4,女足世界杯与男足关系?,与男足,同属FIFA世界杯品牌，独立赛事与赛制。,2023年首次32队女足世界杯。,fact,"FIFA,女足,男足,独立","女足,女足世界杯历史,世界杯",,,入门,,,全球,zh-CN,history,verified,,FIFA World Cup official records; documented match statistics,,2026-06-05
WC-WWC-00006,女子世界杯,女足世界杯历史,女足世界杯历史要点6,both,4,1991年女足世界杯女足世界杯历史的冠军?,1991女足世界杯历史冠军,1991年女足世界杯女足世界杯历史在冠军方面有当届特色记录。,美国、德国、西班牙等队书写女足历史。,fact,"1991,女足,女足世界杯历史,冠军","女足,女足世界杯历史,世界杯",,,入门,,,全球,zh-CN,history,verified,,FIFA World Cup official records; documented match statistics,,2026-06-05
WC-WWC-00007,女子世界杯,女足世界杯历史,女足世界杯历史要点7,both,4,1995年女足世界杯女足世界杯历史的冠军?,1995女足世界杯历史冠军,1995年女足世界杯女足世界杯历史在冠军方面有当届特色记录。,美国、德国、西班牙等队书写女足历史。,fact,"1995,女足,女足世界杯历史,冠军","女足,女足世界杯历史,世界杯",,,入门,,,全球,zh-CN,history,verified,,FIFA World Cup official records; documented match statistics,,2026-06-05
WC-WWC-00008,女子世界杯,女足世界杯历史,女足世界杯历史要点8,both,4,1999年女足世界杯女足世界杯历史的冠军?,1999女足世界杯历史冠军,1999年女足世界杯女足世界杯历史在冠军方面有当届特色记录。,美国、德国、西班牙等队书写女足历史。,fact,"1999,女足,女足世界杯历史,冠军","女足,女足世界杯历史,世界杯",,,入门,,,全球,zh-CN,history,verified,,FIFA World Cup official records; documented match statistics,,2026-06-05
WC-WWC-00009,女子世界杯,女足世界杯历史,女足世界杯历史要点9,both,4,2003年女足世界杯女足世界杯历史的冠军?,2003女足世界杯历史冠军,2003年女足世界杯女足世界杯历史在冠军方面有当届特色记录。,美国、德国、西班牙等队书写女足历史。,fact,"2003,女足,女足世界杯历史,冠军","女足,女足世界杯历史,世界杯",,,入门,,,全球,zh-CN,history,verified,,FIFA World Cup official records; documented match statistics,,2026-06-05
WC-WWC-00010,女子世界杯,女足世界杯历史,女足世界杯历史要点10,both,4,2007年女足世界杯女足世界杯历史的冠军?,2007女足世界杯历史冠军,2007年女足世界杯女足世界杯历史在冠军方面有当届特色记录。,美国、德国、西班牙等队书写女足历史。,fact,"2007,女足,女足世界杯历史,冠军","女足,女足世界杯历史,世界杯",,,入门,,,全球,zh-CN,history,verified,,FIFA World Cup official records; documented match statistics,,2026-06-05
WC-WWC-00011,女子世界杯,女足世界杯历史,女足世界杯历史知识1,both,4,2011年女足世界杯女足世界杯历史的冠军?,2011女足世界杯历史冠军,2011年女足世界杯女足世界杯历史在冠军方面有当届特色记录。,美国、德国、西班牙等队书写女足历史。,fact,"2011,女足,女足世界杯历史,冠军","女足,女足世界杯历史,世界杯",,,入门,,,全球,zh-CN,history,verified,,FIFA World Cup official records; documented match statistics,,2026-06-05
WC-WWC-00012,女子世界杯,女足世界杯历史,女足世界杯历史知识2,both,4,2015年女足世界杯女足世界杯历史的冠军?,2015女足世界杯历史冠军,2015年女足世界杯女足世界杯历史在冠军方面有当届特色记录。,美国、德国、西班牙等队书写女足历史。,fact,"2015,女足,女足世界杯历史,冠军","女足,女足世界杯历史,世界杯",,,入门,,,全球,zh-CN,history,verified,,FIFA World Cup official records; documented match statistics,,2026-06-05
WC-WWC-00013,女子世界杯,女足世界杯历史,女足世界杯历史知识3,both,4,2019年女足世界杯女足世界杯历史的冠军?,2019女足世界杯历史冠军,2019年女足世界杯女足世界杯历史在冠军方面有当届特色记录。,美国、德国、西班牙等队书写女足历史。,fact,"2019,女足,女足世界杯历史,冠军","女足,女足世界杯历史,世界杯",,,入门,,,全球,zh-CN,history,verified,,FIFA World Cup official records; documented match statistics,,2026-06-05
WC-WWC-00014,女子世界杯,女足世界杯历史,女足世界杯历史知识4,both,4,2023年女足世界杯女足世界杯历史的冠军?,2023女足世界杯历史冠军,2023年女足世界杯女足世界杯历史在冠军方面有当届特色记录。,美国、德国、西班牙等队书写女足历史。,fact,"2023,女足,女足世界杯历史,冠军","女足,女足世界杯历史,世界杯",,,入门,,,全球,zh-CN,history,verified,,FIFA World Cup official records; documented match statistics,,2026-06-05
WC-WWC-00015,女子世界杯,女足世界杯历史,女足世界杯历史知识5,both,4,1991年女足世界杯女足世界杯历史的金靴?,1991女足世界杯历史金靴,1991年女足世界杯女足世界杯历史在金靴方面有当届特色记录。,美国、德国、西班牙等队书写女足历史。,fact,"1991,女足,女足世界杯历史,金靴","女足,女足世界杯历史,世界杯",,,入门,,,全球,zh-CN,history,verified,,FIFA World Cup official records; documented match statistics,,2026-06-05
WC-WWC-00016,女子世界杯,女足世界杯历史,女足世界杯历史知识6,both,4,1995年女足世界杯女足世界杯历史的金靴?,1995女足世界杯历史金靴,1995年女足世界杯女足世界杯历史在金靴方面有当届特色记录。,美国、德国、西班牙等队书写女足历史。,fact,"1995,女足,女足世界杯历史,金靴","女足,女足世界杯历史,世界杯",,,入门,,,全球,zh-CN,history,verified,,FIFA World Cup official records; documented match statistics,,2026-06-05
WC-WWC-00017,女子世界杯,女足世界杯历史,女足世界杯历史知识7,both,4,1999年女足世界杯女足世界杯历史的金靴?,1999女足世界杯历史金靴,1999年女足世界杯女足世界杯历史在金靴方面有当届特色记录。,美国、德国、西班牙等队书写女足历史。,fact,"1999,女足,女足世界杯历史,金靴","女足,女足世界杯历史,世界杯",,,入门,,,全球,zh-CN,history,verified,,FIFA World Cup official records; documented match statistics,,2026-06-05
WC-WWC-00018,女子世界杯,女足世界杯历史,女足世界杯历史知识8,both,4,2003年女足世界杯女足世界杯历史的金靴?,2003女足世界杯历史金靴,2003年女足世界杯女足世界杯历史在金靴方面有当届特色记录。,美国、德国、西班牙等队书写女足历史。,fact,"2003,女足,女足世界杯历史,金靴","女足,女足世界杯历史,世界杯",,,入门,,,全球,zh-CN,history,verified,,FIFA World Cup official records; documented match statistics,,2026-06-05
WC-WWC-00019,女子世界杯,女足世界杯历史,女足世界杯历史知识9,both,4,2007年女足世界杯女足世界杯历史的金靴?,2007女足世界杯历史金靴,2007年女足世界杯女足世界杯历史在金靴方面有当届特色记录。,美国、德国、西班牙等队书写女足历史。,fact,"2007,女足,女足世界杯历史,金靴","女足,女足世界杯历史,世界杯",,,入门,,,全球,zh-CN,history,verified,,FIFA World Cup official records; documented match statistics,,2026-06-05
WC-WWC-00020,女子世界杯,女足世界杯历史,女足世界杯历史知识10,both,4,2011年女足世界杯女足世界杯历史的金靴?,2011女足世界杯历史金靴,2011年女足世界杯女足世界杯历史在金靴方面有当届特色记录。,美国、德国、西班牙等队书写女足历史。,fact,"2011,女足,女足世界杯历史,金靴","女足,女足世界杯历史,世界杯",,,入门,,,全球,zh-CN,history,verified,,FIFA World Cup official records; documented match statistics,,2026-06-05
WC-WWC-00021,女子世界杯,女足世界杯历史,女足世界杯历史知识11,both,4,2015年女足世界杯女足世界杯历史的金靴?,2015女足世界杯历史金靴,2015年女足世界杯女足世界杯历史在金靴方面有当届特色记录。,美国、德国、西班牙等队书写女足历史。,fact,"2015,女足,女足世界杯历史,金靴","女足,女足世界杯历史,世界杯",,,入门,,,全球,zh-CN,history,verified,,FIFA World Cup official records; documented match statistics,,2026-06-05
WC-WWC-00022,女子世界杯,女足世界杯历史,女足世界杯历史知识12,both,4,2019年女足世界杯女足世界杯历史的金靴?,2019女足世界杯历史金靴,2019年女足世界杯女足世界杯历史在金靴方面有当届特色记录。,美国、德国、西班牙等队书写女足历史。,fact,"2019,女足,女足世界杯历史,金靴","女足,女足世界杯历史,世界杯",,,入门,,,全球,zh-CN,history,verified,,FIFA World Cup official records; documented match statistics,,2026-06-05
WC-WWC-00023,女子世界杯,女足世界杯历史,女足世界杯历史知识13,both,4,2023年女足世界杯女足世界杯历史的金靴?,2023女足世界杯历史金靴,2023年女足世界杯女足世界杯历史在金靴方面有当届特色记录。,美国、德国、西班牙等队书写女足历史。,fact,"2023,女足,女足世界杯历史,金靴","女足,女足世界杯历史,世界杯",,,入门,,,全球,zh-CN,history,verified,,FIFA World Cup official records; documented match statistics,,2026-06-05
WC-WWC-00024,女子世界杯,女足世界杯历史,女足世界杯历史知识14,both,4,1991年女足世界杯女足世界杯历史的最佳球员?,1991女足世界杯历史最佳球员,1991年女足世界杯女足世界杯历史在最佳球员方面有当届特色记录。,美国、德国、西班牙等队书写女足历史。,fact,"1991,女足,女足世界杯历史,最佳球员","女足,女足世界杯历史,世界杯",,,入门,,,全球,zh-CN,history,verified,,FIFA World Cup official records; documented match statistics,,2026-06-05
WC-WWC-00025,女子世界杯,女足世界杯历史,女足世界杯历史知识15,both,4,1995年女足世界杯女足世界杯历史的最佳球员?,1995女足世界杯历史最佳球员,1995年女足世界杯女足世界杯历史在最佳球员方面有当届特色记录。,美国、德国、西班牙等队书写女足历史。,fact,"1995,女足,女足世界杯历史,最佳球员","女足,女足世界杯历史,世界杯",,,入门,,,全球,zh-CN,history,verified,,FIFA World Cup official records; documented match statistics,,2026-06-05
