id,category_l1,category_l2,category_l3,scope,priority,question,question_aliases,answer_short,answer_detail,answer_format,keywords,tags,entities,related_ids,difficulty,era_start,era_end,region,language,fact_type,confidence,source_type,source_ref,content_flags,updated_at
WC-GLOS-00001,术语与百科,基础规则,越位,football_general,4,什么是越位?,越位定义|越位是什么意思,进攻球员在传球瞬间比倒数第二名防守球员更接近球门线且参与进攻即构成越位。,越位判定的核心是传球瞬间的位置关系；处于本方半场、接界外球或角球等情况不构成越位。,definition,"越位,规则,位置,进攻","基础规则,术语",,,入门,,,全球,zh-CN,term,official,IFAB,IFAB Laws of the Game 2024/25,,2026-06-03
WC-GLOS-00002,术语与百科,基础规则,犯规,football_general,4,足球比赛中的犯规是什么意思?,犯规定义|什么叫犯规,犯规指球员违反比赛规则、以不公平方式阻碍对手或危及安全的行为，裁判可判任意球或点球。,犯规分为直接任意球犯规与间接任意球犯规；严重犯规可出示黄牌或红牌。,definition,"犯规,规则,判罚,对抗","基础规则,术语",,,入门,,,全球,zh-CN,term,official,IFAB,IFAB Laws of the Game 2024/25,,2026-06-03
WC-GLOS-00003,术语与百科,基础规则,直接任意球,football_general,4,什么是直接任意球?,直接任意球定义|直接任意球什么意思,直接任意球允许射门得分；常见于踢人、绊人、推人、手球等犯规后判罚。,防守方须在球离位前保持至少9.15米距离；球进入球门即算得分。,definition,"直接任意球,任意球,犯规,得分","基础规则,术语",,,入门,,,全球,zh-CN,term,official,IFAB,IFAB Laws of the Game 2024/25,,2026-06-03
WC-GLOS-00004,术语与百科,基础规则,间接任意球,football_general,4,什么是间接任意球?,间接任意球定义|间接任意球什么意思,间接任意球必须先触及其他球员才能射门得分，多用于危险动作、阻挡、守门员违例等。,裁判通常单臂上举示意；若直接射入球门且未触及其他球员，判球门球或界外球。,definition,"间接任意球,任意球,规则,示意","基础规则,术语",,,入门,,,全球,zh-CN,term,official,IFAB,IFAB Laws of the Game 2024/25,,2026-06-03
WC-GLOS-00005,术语与百科,基础规则,点球,football_general,4,点球是怎么判的?,点球判罚|什么时候判点球,守方在本方禁区内对进攻球员犯规，或手球破坏明显进球机会，裁判可判点球。,点球从点球点主罚，除主罚与门将外其他球员须在禁区外；一对一射门决胜负。,definition,"点球,禁区,犯规,十二码","基础规则,术语",,,入门,,,全球,zh-CN,term,official,IFAB,IFAB Laws of the Game 2024/25,,2026-06-03
WC-GLOS-00006,术语与百科,基础规则,角球,football_general,4,角球是怎么判的?,角球定义|什么时候判角球,守方球员最后触球且球完全越过球门线（未进球），由攻方在角球区开角球。,角球为直接任意球；进攻球员可在角球区放置足球主罚。,definition,"角球,球门线,定位球,进攻","基础规则,术语",,,入门,,,全球,zh-CN,term,official,IFAB,IFAB Laws of the Game 2024/25,,2026-06-03
WC-GLOS-00007,术语与百科,基础规则,球门球,football_general,4,球门球是怎么判的?,球门球定义|什么时候判球门球,攻方最后触球且球完全越过球门线（未进球），由守方在球门区内开球门球。,球门球须从球门区内发出；球离开禁区后才算比赛重新开始。,definition,"球门球,防守,球门区,开球","基础规则,术语",,,入门,,,全球,zh-CN,term,official,IFAB,IFAB Laws of the Game 2024/25,,2026-06-03
WC-GLOS-00008,术语与百科,基础规则,界外球,football_general,4,界外球怎么发?,掷界外球|界外球规则,球完全越过边线时，由非最后触球方从出界点双手过头掷界外球。,掷球时部分双脚须接触地面且在边线外或线上；违例判对方界外球。,definition,"界外球,边线,掷球,死球","基础规则,术语",,,入门,,,全球,zh-CN,term,official,IFAB,IFAB Laws of the Game 2024/25,,2026-06-03
WC-GLOS-00009,术语与百科,基础规则,黄牌,football_general,4,黄牌是什么意思?,黄牌警告|黄牌作用,黄牌是警告，表示非体育行为、抗议、故意拖延、破坏反击等违纪行为。,同一球员单场两张黄牌变红牌被罚下；累计黄牌可能导致后续停赛。,definition,"黄牌,警告,纪律,停赛","基础规则,术语",,,入门,,,全球,zh-CN,term,official,IFAB,IFAB Laws of the Game 2024/25,,2026-06-03
WC-GLOS-00010,术语与百科,基础规则,红牌,football_general,4,红牌是什么意思?,红牌罚下|红牌后果,红牌表示直接罚下，球员须立即离场且球队不得替补补位。,常见原因包括严重犯规、暴力行为、破坏明显进球机会、侮辱裁判等。,definition,"红牌,罚下,纪律,退场","基础规则,术语",,,入门,,,全球,zh-CN,term,official,IFAB,IFAB Laws of the Game 2024/25,,2026-06-03
WC-GLOS-00011,术语与百科,基础规则,两黄变一红,football_general,4,两黄变一红是什么意思?,两张黄牌|黄加黄变红,同一球员在同一场比赛吃到第二张黄牌，以红牌罚下并不得替补补位。,两张黄牌可来自不同性质违纪，但均须在同一场内累计。,definition,"两黄变一红,黄牌,红牌,罚下","基础规则,术语",,,入门,,,全球,zh-CN,term,official,IFAB,IFAB Laws of the Game 2024/25,,2026-06-03
WC-GLOS-00012,术语与百科,基础规则,手球,football_general,4,足球手球怎么判?,手球犯规|手球规则,除门将禁区内外特定情况外，球员故意用手或手臂触球通常判犯规。,是否扩大身体面积、是否自然位置、是否得分或创造机会，均影响判罚与卡牌。,definition,"手球,手臂,犯规,禁区","基础规则,术语",,,进阶,,,全球,zh-CN,term,official,IFAB,IFAB Laws of the Game 2024/25,,2026-06-03
WC-GLOS-00013,术语与百科,基础规则,危险动作,football_general,4,什么是危险动作?,危险动作犯规|抬脚过高,危及对手安全的行为如抬脚过高、剪刀脚等，即使未触球也可判间接或直接任意球。,严重危险动作可直红；裁判重点看动作高度、力度与对手距离。,definition,"危险动作,安全,犯规,抬脚","基础规则,术语",,,进阶,,,全球,zh-CN,term,official,IFAB,IFAB Laws of the Game 2024/25,,2026-06-03
WC-GLOS-00014,术语与百科,基础规则,铲球,football_general,4,铲球犯规怎么区分?,铲球规则|合理铲球,先触球且动作干净通常允许；从背后、侧后方危险铲球或先触人多为犯规。,禁区内外铲球判罚尺度一致，但禁区内犯规可能升级为点球。,definition,"铲球,抢断,犯规,防守","基础规则,术语",,,进阶,,,全球,zh-CN,term,official,IFAB,IFAB Laws of the Game 2024/25,,2026-06-03
