id,category_l1,category_l2,category_l3,scope,priority,question,question_aliases,answer_short,answer_detail,answer_format,keywords,tags,entities,related_ids,difficulty,era_start,era_end,region,language,fact_type,confidence,source_type,source_ref,content_flags,updated_at
WC-TFMT-00001,世界杯赛制与组织,创立与归属,FIFA成立,both,5,国际足联哪年成立?,FIFA founding,国际足联1904年5月21日在巴黎成立。,全称国际足球联合会，总部现设瑞士苏黎世。,definition,"FIFA,1904,巴黎,成立","赛制,创立",,,入门,,,全球,zh-CN,history,official,FIFA,FIFA World Cup regulations,,2026-06-03
WC-TFMT-00002,世界杯赛制与组织,创立与归属,世界杯创设,world_cup,5,世界杯是谁倡议的?,Rimet World Cup,法国人朱尔·雷米特推动设立世界杯，1928年大会通过。,旨在促进各国国家队交流与世界足球普及。,definition,"雷米特,创设,1928,世界杯","赛制,创立",,,入门,,,全球,zh-CN,history,official,FIFA,FIFA World Cup regulations,,2026-06-03
WC-TFMT-00003,世界杯赛制与组织,创立与归属,首届世界杯,world_cup,5,首届世界杯何时何地?,1930 Uruguay,1930年7月在乌拉圭蒙得维的亚举行，13队参赛。,乌拉圭作为1928奥运足球冠军与百年独立庆典主办。,definition,"1930,首届,乌拉圭,13队","赛制,创立",,,入门,,,全球,zh-CN,history,official,FIFA,FIFA World Cup regulations,,2026-06-03
WC-TFMT-00004,世界杯赛制与组织,创立与归属,二战停办,world_cup,5,世界杯因二战停办吗?,WWII cancellation,1942年与1946年两届因二战取消，1946年大会决定恢复。,1950年巴西恢复举办为第四届。,definition,"二战,停办,1942,1946","赛制,创立",,,入门,,,全球,zh-CN,history,official,FIFA,FIFA World Cup regulations,,2026-06-03
WC-TFMT-00005,世界杯赛制与组织,创立与归属,FIFA与世界杯,world_cup,5,世界杯归谁组织?,FIFA organizes WC,世界杯由国际足联独家主办并制定当届竞赛规程。,各大洲足联协助预选赛，决赛圈由FIFA统一运营。,definition,"FIFA,主办,规程,决赛圈","赛制,创立",,,入门,,,全球,zh-CN,history,official,FIFA,FIFA World Cup regulations,,2026-06-03
WC-TFMT-00006,世界杯赛制与组织,创立与归属,正式名称,both,5,世界杯英文官方名?,FIFA World Cup,英文正式名称为FIFA World Cup，中文常称国际足联世界杯。,与俱乐部赛事、区域杯赛名称不可混用。,definition,"FIFA World Cup,名称,官方,英文","赛制,创立",,,入门,,,全球,zh-CN,history,official,FIFA,FIFA World Cup regulations,,2026-06-03
WC-TFMT-00007,世界杯赛制与组织,创立与归属,雷米特杯,world_cup,5,早期冠军奖杯叫什么?,Jules Rimet Trophy,1930至1970年冠军获雷米特杯，巴西三冠后永久保留。,1974年起改用大力神杯体系。,definition,"雷米特杯,奖杯,1970,巴西","赛制,创立",,,入门,,,全球,zh-CN,history,official,FIFA,FIFA World Cup regulations,,2026-06-03
WC-TFMT-00008,世界杯赛制与组织,创立与归属,大力神杯,world_cup,5,现行世界杯奖杯?,FIFA World Cup Trophy,1974年起冠军获大力神杯复制品，真品由FIFA保管。,原杯不再随队永久持有。,definition,"大力神杯,1974,奖杯,FIFA","赛制,创立",,,入门,,,全球,zh-CN,history,official,FIFA,FIFA World Cup regulations,,2026-06-03
WC-TFMT-00009,世界杯赛制与组织,创立与归属,与奥运关系,both,5,世界杯与奥运足球?,WC vs Olympic,世界杯为FIFA独立旗舰赛；奥运男足有年龄限制且规程不同。,二者赛程、名额与注册规则均不互相替代。,definition,"奥运,区别,年龄,独立","赛制,创立",,,入门,,,全球,zh-CN,history,official,FIFA,FIFA World Cup regulations,,2026-06-03
WC-TFMT-00010,世界杯赛制与组织,创立与归属,四年周期,world_cup,5,世界杯几年一届?,four-year cycle,自1930年起（二战除外）每四年一届，由FIFA理事会确定赛历。,预选赛与决赛圈贯穿整个周期。,definition,"四年,一届,周期,FIFA","赛制,创立",,,入门,,,全球,zh-CN,history,official,FIFA,FIFA World Cup regulations,,2026-06-03
WC-TFMT-00011,世界杯赛制与组织,创立与归属,1950赛制,world_cup,5,1950年世界杯赛制?,1950 final group,1950年无单场决赛，四队末轮循环定冠军，乌拉圭夺冠。,属特殊历史赛制，此后恢复淘汰赛决赛。,definition,"1950,循环,决赛,乌拉圭","赛制,创立",,,进阶,,,全球,zh-CN,history,official,FIFA,FIFA World Cup regulations,,2026-06-03
WC-TFMT-00012,世界杯赛制与组织,创立与归属,扩军16队,world_cup,5,何时扩至16队?,expand to 16,1954年瑞士世界杯起决赛圈为16队，直至1982年前维持。,扩军反映全球参赛国增多。,definition,"16队,1954,扩军,决赛圈","赛制,创立",,,入门,,,全球,zh-CN,history,official,FIFA,FIFA World Cup regulations,,2026-06-03
WC-TFMT-00013,世界杯赛制与组织,创立与归属,扩军24队,world_cup,5,何时扩至24队?,expand to 24,1982年西班牙世界杯起决赛圈扩至24队。,小组赛结构随之调整。,definition,"24队,1982,西班牙,扩军","赛制,创立",,,入门,,,全球,zh-CN,history,official,FIFA,FIFA World Cup regulations,,2026-06-03
WC-TFMT-00014,世界杯赛制与组织,创立与归属,扩军32队,world_cup,5,何时扩至32队?,expand to 32,1998年法国世界杯起决赛圈为32队，持续至2022年。,8组×4队为经典结构。,definition,"32队,1998,法国,扩军","赛制,创立",,,入门,,,全球,zh-CN,history,official,FIFA,FIFA World Cup regulations,,2026-06-03
WC-TFMT-00015,世界杯赛制与组织,创立与归属,会员国基础,both,5,谁能参加世界杯?,FIFA members,仅限国际足联正式会员协会派国家队参赛。,非会员或被停权协会不得参赛。,definition,"会员国,协会,国家队,资格","赛制,创立",,,入门,,,全球,zh-CN,history,official,FIFA,FIFA World Cup regulations,,2026-06-03
WC-TFMT-00016,世界杯赛制与组织,创立与归属,赛事定位,world_cup,5,世界杯在足球地位?,flagship event,世界杯是男子国家队层面最高荣誉赛事之一。,与各大洲国家杯、洲际俱乐部赛层级不同。,definition,"旗舰,国家队,荣誉,地位","赛制,创立",,,入门,,,全球,zh-CN,history,official,FIFA,FIFA World Cup regulations,,2026-06-03
WC-TFMT-00017,世界杯赛制与组织,创立与归属,女子世界杯,both,5,女子世界杯何时创办?,Women World Cup,女子世界杯1991年创办，规程与男子赛历独立。,同属FIFA主办但文件与名额体系分开。,definition,"女子,1991,独立,规程","赛制,创立",,,入门,,,全球,zh-CN,history,official,FIFA,FIFA World Cup regulations,,2026-06-03
WC-TFMT-00018,世界杯赛制与组织,创立与归属,联合会杯,world_cup,5,联合会杯与世界杯?,Confederations Cup,联合会杯曾为世界杯前哨赛，2017年后停办。,不再作为世界杯主办国测试赛固定环节。,definition,"联合会杯,停办,前哨,历史","赛制,创立",,,进阶,,,全球,zh-CN,history,official,FIFA,FIFA World Cup regulations,,2026-06-03
WC-TFMT-00019,世界杯赛制与组织,创立与归属,洲际归属,both,5,世界杯与六大洲?,six confederations,预选赛按亚足联、非足联、中北美、南美、大洋洲、欧足联划分。,名额分配由FIFA理事会决议。,definition,"六大洲,预选赛,名额,分配","赛制,创立",,,入门,,,全球,zh-CN,history,official,FIFA,FIFA World Cup regulations,,2026-06-03
WC-TFMT-00020,世界杯赛制与组织,创立与归属,商标权属,world_cup,5,世界杯标志归谁?,WC trademarks,世界杯名称、会徽等知识产权归国际足联所有。,主办国组委会依授权使用视觉系统。,definition,"商标,FIFA,会徽,知识产权","赛制,创立",,,入门,,,全球,zh-CN,history,official,FIFA,FIFA World Cup regulations,,2026-06-03
WC-TFMT-00021,世界杯赛制与组织,创立与归属,收入用途,world_cup,5,世界杯收入去向?,FIFA revenue,赛事收入主要用于全球足球发展、青训与足协支持项目。,具体分配依FIFA财务与治理规则。,definition,"收入,发展,青训,FIFA","赛制,创立",,,进阶,,,全球,zh-CN,history,official,FIFA,FIFA World Cup regulations,,2026-06-03
WC-TFMT-00022,世界杯赛制与组织,创立与归属,第22届,world_cup,5,2022年是第几届?,Qatar 2022 edition,卡塔尔2022年为男子世界杯第22届。,因主办国在11-12月举办亦称冬赛届。,definition,"第22届,2022,卡塔尔,届次","赛制,创立",,,入门,,,全球,zh-CN,history,official,FIFA,FIFA World Cup regulations,,2026-06-03
WC-TFMT-00023,世界杯赛制与组织,创立与归属,第23届,world_cup,5,2026年是第几届?,2026 edition number,美加墨2026年为男子世界杯第23届。,首次48队、三国联合主办。,definition,"第23届,2026,48队,联合主办","赛制,创立",,,入门,,,全球,zh-CN,history,official,FIFA,FIFA World Cup regulations,,2026-06-03
WC-TFMT-00024,世界杯赛制与组织,创立与归属,抵制历史,world_cup,5,世界杯有抵制参赛吗?,boycott history,历史上部分届次出现退赛或抵制，影响参赛队数与分组。,具体届次以当届报名名单为准。,definition,"抵制,退赛,历史,参赛","赛制,创立",,,进阶,,,全球,zh-CN,history,official,FIFA,FIFA World Cup regulations,,2026-06-03
WC-TFMT-00025,世界杯赛制与组织,创立与归属,政治影响,world_cup,5,世界杯与政治?,politics and WC,FIFA章程强调政治非干预，但主办与外交仍常引发讨论。,竞赛规程本身不处理双边关系。,definition,"政治,主办,外交,章程","赛制,创立",,,进阶,,,全球,zh-CN,history,official,FIFA,FIFA World Cup regulations,,2026-06-03
WC-TFMT-00026,世界杯赛制与组织,创立与归属,业余时代,world_cup,5,早期世界杯职业化?,amateur to pro,早期对职业球员有限制，1950年代后职业球员全面参赛。,标志现代足球与世界杯商业化发展。,definition,"职业化,早期,限制,历史","赛制,创立",,,进阶,,,全球,zh-CN,history,official,FIFA,FIFA World Cup regulations,,2026-06-03
WC-TFMT-00027,世界杯赛制与组织,创立与归属,转播开端,world_cup,5,世界杯何时全球转播?,TV history,1954年起电视转播扩大，推动赛事全球影响力。,媒体权现为FIFA核心商业资产之一。,definition,"转播,电视,1954,媒体","赛制,创立",,,入门,,,全球,zh-CN,history,official,FIFA,FIFA World Cup regulations,,2026-06-03
WC-TFMT-00028,世界杯赛制与组织,创立与归属,吉祥物传统,world_cup,5,世界杯吉祥物何时起?,mascot tradition,1966年英格兰世界杯推出威利，形成长期营销传统。,吉祥物属品牌活动，非竞赛规则。,definition,"吉祥物,1966,品牌,传统","赛制,创立",,,入门,,,全球,zh-CN,history,official,FIFA,FIFA World Cup regulations,,2026-06-03
WC-TFMT-00029,世界杯赛制与组织,创立与归属,官方用球,world_cup,5,世界杯官方用球传统?,match ball tradition,每届发布官方比赛用球，名称与设计成为文化符号。,用球须符合国际足球协会理事会标准。,definition,"用球,官方,每届,传统","赛制,创立",,,入门,,,全球,zh-CN,history,official,FIFA,FIFA World Cup regulations,,2026-06-03
WC-TFMT-00030,世界杯赛制与组织,创立与归属,与俱乐部赛,both,5,世界杯是俱乐部赛吗?,not club competition,世界杯是国家队赛事，球员代表所属足协出战。,与欧冠等俱乐部赛事组织主体不同。,definition,"国家队,俱乐部,区别,足协","赛制,创立",,,入门,,,全球,zh-CN,history,official,FIFA,FIFA World Cup regulations,,2026-06-03
WC-TFMT-00031,世界杯赛制与组织,创立与归属,规程文件,world_cup,5,世界杯最高规则文件?,WC Regulations,当届《FIFA World Cup Regulations》为赛事最高竞赛文件。,与《足球竞赛规则》并行适用。,definition,"规程,Regulations,FIFA,当届","赛制,创立",,,入门,,,全球,zh-CN,rule,official,FIFA,FIFA World Cup regulations,,2026-06-03
WC-TFMT-00032,世界杯赛制与组织,创立与归属,章程关系,both,5,FIFA章程与世界杯?,FIFA Statutes,FIFA章程规定世界杯主办权、会员义务与治理结构。,具体赛制细节在当届规程中展开。,definition,"章程,Statutes,主办权,治理","赛制,创立",,,进阶,,,全球,zh-CN,history,official,FIFA,FIFA World Cup regulations,,2026-06-03
WC-TFMT-00033,世界杯赛制与组织,创立与归属,发展计划,world_cup,5,世界杯与足球发展?,development programmes,FIFA通过世界杯周期资金支援基层、女足与裁判培养。,与场上积分规则无直接关联。,definition,"发展,基层,女足,裁判","赛制,创立",,,入门,,,全球,zh-CN,history,official,FIFA,FIFA World Cup regulations,,2026-06-03
WC-TFMT-00034,世界杯赛制与组织,创立与归属,公平竞赛,world_cup,5,公平竞赛奖何时设立?,Fair Play award,公平竞赛奖鼓励纪律优良球队，评选依当届纪律数据。,属荣誉奖项，非积分规则。,definition,"公平竞赛,奖项,纪律,荣誉","赛制,创立",,,入门,,,全球,zh-CN,history,official,FIFA,FIFA World Cup regulations,,2026-06-03
WC-TFMT-00035,世界杯赛制与组织,创立与归属,金球金靴,both,5,世界杯个人奖项?,Golden awards,金球、金靴等奖项在赛事结束后由技术团队评选。,评选标准在当届技术报告中说明。,definition,"金球,金靴,评选,奖项","赛制,创立",,,入门,,,全球,zh-CN,history,official,FIFA,FIFA World Cup regulations,,2026-06-03
WC-TFMT-00036,世界杯赛制与组织,创立与归属,东道主传统,world_cup,5,东道主自动晋级?,host auto qualify,主办国通常自动获得当届决赛圈席位，细则写入当届规程。,联合主办时各国席位安排依大会决议。,definition,"东道主,自动,席位,晋级","赛制,创立",,,入门,,,全球,zh-CN,rule,official,FIFA,FIFA World Cup regulations,,2026-06-03
