id,category_l1,category_l2,category_l3,scope,priority,question,question_aliases,answer_short,answer_detail,answer_format,keywords,tags,entities,related_ids,difficulty,era_start,era_end,region,language,fact_type,confidence,source_type,source_ref,content_flags,updated_at
WC-CLUB-00001,俱乐部与联赛,英超与世界杯,概览,both,4,英超与世界杯指什么?,概览,英超与世界杯指英格兰超级联赛俱乐部、球员与世界杯国家队赛事之间的关联与影响。,涵盖国脚来源、赛程协调与跨国球员代表等话题。,fact,"英超,世界杯,俱乐部,关联","英超,俱乐部,世界杯",,,入门,,,欧洲,zh-CN,stat,verified,,Premier League official records; FIFA World Cup statistics,,2026-06-05
WC-CLUB-00002,俱乐部与联赛,英超与世界杯,英超全称,both,4,英超英文官方名称?,英超全称,英超英文全称为Premier League，中文常称英格兰超级联赛。,1992年由原英甲顶级俱乐部改制成立。,definition,"Premier League,超级联赛,英格兰,官方","英超,俱乐部,世界杯",,,入门,1992,,欧洲,zh-CN,culture,verified,,Premier League official records; FIFA World Cup statistics,,2026-06-05
WC-CLUB-00003,俱乐部与联赛,英超与世界杯,1992改制,both,4,英超何时成立?,1992改制,英超1992至1993赛季正式开赛，由原英甲顶级球队脱离成立。,改制后商业转播与竞争格局显著变化。,fact,"1992,改制,英甲,成立","英超,俱乐部,世界杯",,,入门,1992,1992,欧洲,zh-CN,history,verified,,Premier League official records; FIFA World Cup statistics,,2026-06-05
WC-CLUB-00004,俱乐部与联赛,英超与世界杯,层级区别,both,4,英超与世界杯有何不同?,层级区别,英超是俱乐部联赛，世界杯是国家队赛事，组织主体与参赛资格完全不同。,球员在俱乐部效力与在国家队代表所属足协出战。,comparison,"俱乐部,国家队,区别,层级","英超,俱乐部,世界杯",,,入门,,,全球,zh-CN,culture,verified,,Premier League official records; FIFA World Cup statistics,,2026-06-05
WC-CLUB-00005,俱乐部与联赛,英超与世界杯,英格兰来源,both,4,英格兰世界杯名单多来自哪?,英格兰来源,英格兰世界杯名单球员绝大多数来自英超俱乐部。,少数来自英冠或其他联赛。,fact,"英格兰,英超,国脚,名单","英超,俱乐部,世界杯",team:英格兰,,入门,,,欧洲,zh-CN,stat,verified,,Premier League official records; FIFA World Cup statistics,,2026-06-05
WC-CLUB-00006,俱乐部与联赛,英超与世界杯,2022英格兰,both,4,2022英格兰队英超球员占比?,2022英格兰,2022年卡塔尔世界杯英格兰23人大名单几乎全部来自英超各队。,萨卡、凯恩、马奎尔等分属阿森纳、热刺、曼联等。,fact,"2022,英格兰,英超,名单","英超,俱乐部,世界杯",team:英格兰|tournament:2022年卡塔尔世界杯,,入门,2022,2022,欧洲,zh-CN,stat,verified,,Premier League official records; FIFA World Cup statistics,,2026-06-05
WC-CLUB-00007,俱乐部与联赛,英超与世界杯,曼联输出,both,4,曼联向英格兰输送世界杯球员?,曼联输出,曼联长期为英格兰国家队输送主力，如鲁尼、费迪南德、贝克汉姆等曾效力曼联征战世界杯。,亦有多国球员以曼联球员身份参加世界杯。,fact,"曼联,英格兰,国脚,世界杯","英超,俱乐部,世界杯",club:曼联|team:英格兰,,入门,,,欧洲,zh-CN,history,verified,,Premier League official records; FIFA World Cup statistics,,2026-06-05
WC-CLUB-00008,俱乐部与联赛,英超与世界杯,利物浦输出,both,4,利物浦与世界杯国脚?,利物浦输出,利物浦为英格兰及多国世界杯国脚提供平台，如杰拉德、亨德森、萨拉赫等。,欧冠赛季表现常影响国脚状态。,fact,"利物浦,国脚,世界杯,平台","英超,俱乐部,世界杯",club:利物浦,,入门,,,欧洲,zh-CN,history,verified,,Premier League official records; FIFA World Cup statistics,,2026-06-05
WC-CLUB-00009,俱乐部与联赛,英超与世界杯,阿森纳输出,both,4,阿森纳与英格兰世界杯?,阿森纳输出,阿森纳为英格兰输送过多名世界杯球员，2022年萨卡为当届代表之一。,温格时代亦培养大批外籍世界杯国脚。,fact,"阿森纳,英格兰,萨卡,国脚","英超,俱乐部,世界杯",club:阿森纳|team:英格兰,,入门,,,欧洲,zh-CN,history,verified,,Premier League official records; FIFA World Cup statistics,,2026-06-05
WC-CLUB-00010,俱乐部与联赛,英超与世界杯,切尔西输出,both,4,切尔西世界杯国脚特点?,切尔西输出,切尔西阵中常有大量外籍世界杯国脚，如德罗巴、阿扎尔、坎特等代表各自国家队。,2000年代后成为多国国脚聚集地。,fact,"切尔西,外籍,国脚,世界杯","英超,俱乐部,世界杯",club:切尔西,,入门,,,欧洲,zh-CN,stat,verified,,Premier League official records; FIFA World Cup statistics,,2026-06-05
WC-CLUB-00011,俱乐部与联赛,英超与世界杯,曼城输出,both,4,曼城近年世界杯国脚?,曼城输出,曼城近年为英格兰、比利时、阿根廷等多国世界杯提供主力，如德布劳内、福登、阿尔瓦雷斯等。,瓜迪奥拉执教时期国脚集中度上升。,fact,"曼城,国脚,比利时,阿根廷","英超,俱乐部,世界杯",club:曼城,,入门,2010,,欧洲,zh-CN,stat,verified,,Premier League official records; FIFA World Cup statistics,,2026-06-05
WC-CLUB-00012,俱乐部与联赛,英超与世界杯,热刺输出,both,4,热刺与英格兰前锋线?,热刺输出,热刺长期与英格兰前锋及中场国脚绑定，凯恩、孙兴慜等均在热刺效力期间征战世界杯。,俱乐部与国家队角色相互影响。,fact,"热刺,凯恩,孙兴慜,前锋","英超,俱乐部,世界杯",club:热刺|team:英格兰,,入门,,,欧洲,zh-CN,history,verified,,Premier League official records; FIFA World Cup statistics,,2026-06-05
WC-CLUB-00013,俱乐部与联赛,英超与世界杯,埃弗顿门将,both,4,埃弗顿与英格兰门将?,埃弗顿门将,埃弗顿长期为英格兰培养门将，皮克福德2018、2022年世界杯均为英格兰主力门将。,门将位置俱乐部延续性较强。,fact,"埃弗顿,皮克福德,门将,英格兰","英超,俱乐部,世界杯",club:埃弗顿|team:英格兰,,进阶,2018,2022,欧洲,zh-CN,bio,verified,,Premier League official records; FIFA World Cup statistics,,2026-06-05
WC-CLUB-00014,俱乐部与联赛,英超与世界杯,西汉姆输出,both,4,西汉姆英格兰国脚?,西汉姆输出,西汉姆联曾为英格兰输送赖斯等国脚，赖斯2022年世界杯时仍效力西汉姆。,2023年后赖斯转会阿森纳。,fact,"西汉姆,赖斯,英格兰,2022","英超,俱乐部,世界杯",club:西汉姆|team:英格兰|tournament:2022年卡塔尔世界杯,,进阶,2022,2022,欧洲,zh-CN,bio,verified,,Premier League official records; FIFA World Cup statistics,,2026-06-05
WC-CLUB-00015,俱乐部与联赛,英超与世界杯,纽卡输出,both,4,纽卡斯尔世界杯国脚?,纽卡输出,纽卡斯尔联近年随投入增加成为英格兰国脚来源之一，如特里皮尔、波普等曾入选。,俱乐部成绩与国脚数量常同步变化。,fact,"纽卡斯尔,波普,特里皮尔,英格兰","英超,俱乐部,世界杯",club:纽卡斯尔|team:英格兰,,进阶,2018,,欧洲,zh-CN,stat,verified,,Premier League official records; FIFA World Cup statistics,,2026-06-05
WC-CLUB-00016,俱乐部与联赛,英超与世界杯,莱斯特2016,both,4,莱斯特奇迹与世界杯?,莱斯特2016,莱斯特城2016年英超夺冠后，瓦尔迪、马赫雷斯等随英格兰、摩洛哥等队参加后续世界杯。,中小俱乐部亦可输出国脚。,fact,"莱斯特,瓦尔迪,2016,国脚","英超,俱乐部,世界杯",club:莱斯特城|team:英格兰,,进阶,2016,2018,欧洲,zh-CN,history,verified,,Premier League official records; FIFA World Cup statistics,,2026-06-05
WC-CLUB-00017,俱乐部与联赛,英超与世界杯,1966英甲,both,4,1966英格兰冠军俱乐部背景?,1966英甲,1966年世界杯英格兰夺冠时球员多效力当时英甲顶级联赛俱乐部，尚无英超称谓。,摩尔、查尔顿等为代表人物。,fact,"1966,英甲,英格兰,冠军","英超,俱乐部,世界杯",team:英格兰|tournament:1966年英格兰世界杯,,入门,1966,1966,欧洲,zh-CN,history,verified,,Premier League official records; FIFA World Cup statistics,,2026-06-05
WC-CLUB-00018,俱乐部与联赛,英超与世界杯,外援代表,both,4,英超外援可踢世界杯吗?,外援代表,英超外援可代表其所属国家队参加世界杯，与效力英超俱乐部并不冲突。,FIFA规定俱乐部须放行注册国脚。,fact,"外援,国家队,放行,英超","英超,俱乐部,世界杯",,,入门,,,全球,zh-CN,rule,verified,,Premier League official records; FIFA World Cup statistics,,2026-06-05
WC-CLUB-00019,俱乐部与联赛,英超与世界杯,非洲国脚,both,4,英超非洲球员世界杯?,非洲国脚,英超聚集大量非洲国脚，如萨拉赫代表埃及、马内代表塞内加尔参加世界杯。,联赛强度与国家队赛程需协调。,fact,"非洲,萨拉赫,马内,英超","英超,俱乐部,世界杯",club:利物浦,,入门,,,非洲,zh-CN,stat,verified,,Premier League official records; FIFA World Cup statistics,,2026-06-05
WC-CLUB-00020,俱乐部与联赛,英超与世界杯,南美国脚,both,4,英超南美球员世界杯?,南美国脚,英超南美球员常代表巴西、阿根廷等队出战世界杯，如阿圭罗、特维斯、阿尔瓦雷斯等曾效力英超。,南美球员多集中在攻击线位置。,fact,"南美,阿根廷,巴西,英超","英超,俱乐部,世界杯",club:曼城|team:阿根廷,,进阶,,,南美,zh-CN,stat,verified,,Premier League official records; FIFA World Cup statistics,,2026-06-05
WC-CLUB-00021,俱乐部与联赛,英超与世界杯,欧洲大陆,both,4,英超欧洲大陆国脚?,欧洲大陆,德布劳内、范戴克、孙兴慜等虽效力英超，分别代表比利时、荷兰、韩国征战世界杯。,英超是欧洲及亚洲多国国脚主要联赛之一。,fact,"比利时,荷兰,韩国,英超","英超,俱乐部,世界杯",club:曼城|club:利物浦,,进阶,,,欧洲,zh-CN,stat,verified,,Premier League official records; FIFA World Cup statistics,,2026-06-05
WC-CLUB-00022,俱乐部与联赛,英超与世界杯,法国2018,both,4,2018法国阵中英超球员?,法国2018,2018年世界杯冠军法国阵中有多名英超球员，如博格巴、坎特、吉鲁等当时效力英超俱乐部。,英超为法国提供中场与锋线深度。,fact,"法国,2018,博格巴,坎特","英超,俱乐部,世界杯",team:法国|tournament:2018年俄罗斯世界杯,,入门,2018,2018,欧洲,zh-CN,stat,verified,,Premier League official records; FIFA World Cup statistics,,2026-06-05
WC-CLUB-00023,俱乐部与联赛,英超与世界杯,比利时2018,both,4,2018比利时英超分布?,比利时2018,2018年比利时季军阵中英超球员众多，德布劳内、阿扎尔、卢卡库、库尔图瓦等分属曼城、切尔西等队。,被称作黄金一代的联赛分布核心在英超。,fact,"比利时,2018,德布劳内,英超","英超,俱乐部,世界杯",team:比利时|tournament:2018年俄罗斯世界杯,,入门,2018,2018,欧洲,zh-CN,stat,verified,,Premier League official records; FIFA World Cup statistics,,2026-06-05
WC-CLUB-00024,俱乐部与联赛,英超与世界杯,克罗地亚2018,both,4,2018克罗地亚英超球员?,克罗地亚2018,2018年克罗地亚亚军阵中有洛夫伦等当时效力利物浦的球员，英超经历为其国家队提供经验。,莫德里奇当时效力西甲皇马。,fact,"克罗地亚,2018,洛夫伦,利物浦","英超,俱乐部,世界杯",club:利物浦|team:克罗地亚|tournament:2018年俄罗斯世界杯,,进阶,2018,2018,欧洲,zh-CN,stat,verified,,Premier League official records; FIFA World Cup statistics,,2026-06-05
WC-CLUB-00025,俱乐部与联赛,英超与世界杯,放人义务,both,4,英超俱乐部须放行国脚吗?,放人义务,国际足联规定俱乐部须放行被国家队征召的注册球员，英超俱乐部同样适用。,含世界杯预选赛与决赛圈。,fact,"放人,国脚,国际足联,义务","英超,俱乐部,世界杯",,,入门,,,全球,zh-CN,rule,verified,,Premier League official records; FIFA World Cup statistics,,2026-06-05
WC-CLUB-00026,俱乐部与联赛,英超与世界杯,2022冬赛季,both,4,2022世界杯如何影响英超?,2022冬赛季,2022年卡塔尔世界杯于11至12月举行，英超赛季中段暂停以配合世界杯。,为史上首次冬季世界杯，赛程与往届夏赛不同。,fact,"2022,冬季,赛程,暂停","英超,俱乐部,世界杯",tournament:2022年卡塔尔世界杯,,入门,2022,2022,欧洲,zh-CN,history,verified,,Premier League official records; FIFA World Cup statistics,,2026-06-05
WC-CLUB-00027,俱乐部与联赛,英超与世界杯,夏季停赛,both,4,传统夏窗世界杯英超如何安排?,夏季停赛,传统6至7月夏季世界杯期间，英超赛季已结束，球员以国家队身份备战不受联赛冲突。,新赛季通常于8月前后开赛。,fact,"夏季,停赛,赛季,传统","英超,俱乐部,世界杯",,,入门,,,欧洲,zh-CN,culture,verified,,Premier League official records; FIFA World Cup statistics,,2026-06-05
WC-CLUB-00028,俱乐部与联赛,英超与世界杯,赛后恢复,both,4,世界杯后英超何时恢复?,赛后恢复,2022年冬季世界杯后英超于12月26日左右恢复 Boxing Day 赛程，其他届次则按 preseason 安排。,具体日期随当届赛历调整。,fact,"恢复,Boxing Day,2022,赛程","英超,俱乐部,世界杯",,,进阶,2022,2022,欧洲,zh-CN,culture,verified,,Premier League official records; FIFA World Cup statistics,,2026-06-05
WC-CLUB-00029,俱乐部与联赛,英超与世界杯,赛季结束,both,4,英超赛季一般何时结束?,赛季结束,英超赛季通常在5月结束，为传统夏季世界杯留出国家队集训窗口。,2022年因冬季世界杯赛季延长至11月前。,fact,"5月,赛季结束,夏窗,集训","英超,俱乐部,世界杯",,,入门,,,欧洲,zh-CN,culture,verified,,Premier League official records; FIFA World Cup statistics,,2026-06-05
WC-CLUB-00030,俱乐部与联赛,英超与世界杯,强度体能,both,4,英超强度影响世界杯体能?,强度体能,英超以高强度著称，球员赛季末或赛季中出战世界杯需兼顾俱乐部与国家队负荷。,教练组常调整训练量以管理体能。,fact,"强度,体能,负荷,英超","英超,俱乐部,世界杯",,,进阶,,,欧洲,zh-CN,culture,verified,,Premier League official records; FIFA World Cup statistics,,2026-06-05
WC-CLUB-00031,俱乐部与联赛,英超与世界杯,欧冠并行,both,4,欧冠与世界杯球员状态?,欧冠并行,英超球队欧冠赛季结束时间接近世界杯，球员连续作战可能影响国家队备战。,2022年欧冠决赛早于冬季世界杯数月。,comparison,"欧冠,状态,连续,备战","英超,俱乐部,世界杯",,,进阶,,,欧洲,zh-CN,culture,verified,,Premier League official records; FIFA World Cup statistics,,2026-06-05
WC-CLUB-00032,俱乐部与联赛,英超与世界杯,伤病风险,both,4,英超密集赛程与世界杯伤病?,伤病风险,英超赛程密集，球员可能在世界杯前于俱乐部赛事受伤，影响国家队名单。,各队医疗与国家队协作评估复出时间。,fact,"伤病,密集,赛程,风险","英超,俱乐部,世界杯",,,进阶,,,欧洲,zh-CN,culture,verified,,Premier League official records; FIFA World Cup statistics,,2026-06-05
WC-CLUB-00033,俱乐部与联赛,英超与世界杯,非英超英格兰,both,4,英格兰国脚必须来自英超吗?,非英超英格兰,英格兰国脚并非必须来自英超，但绝大多数来自英超，极少数来自英冠或其他联赛。,选拔以竞技状态与教练战术需要为准。,fact,"英冠,英格兰,选拔,英超","英超,俱乐部,世界杯",team:英格兰,,入门,,,欧洲,zh-CN,rule,verified,,Premier League official records; FIFA World Cup statistics,,2026-06-05
WC-CLUB-00034,俱乐部与联赛,英超与世界杯,Big6,both,4,英超Big6指哪些队?,Big6,Big6通常指曼联、曼城、利物浦、切尔西、阿森纳、热刺六支传统豪门。,六队长期是英格兰及多国世界杯国脚主要来源。,list,"Big6,豪门,曼联,利物浦","英超,俱乐部,世界杯",,,入门,,,欧洲,zh-CN,culture,verified,,Premier League official records; FIFA World Cup statistics,,2026-06-05
WC-CLUB-00035,俱乐部与联赛,英超与世界杯,保级队国脚,both,4,保级队也能输送国脚?,保级队国脚,保级球队亦可输送世界杯国脚，如莱斯特、西汉姆、伯恩利等曾有多名国脚。,国脚选拔看个人而非仅看俱乐部排名。,fact,"保级,国脚,莱斯特,西汉姆","英超,俱乐部,世界杯",,,进阶,,,欧洲,zh-CN,culture,verified,,Premier League official records; FIFA World Cup statistics,,2026-06-05
WC-CLUB-00036,俱乐部与联赛,英超与世界杯,青训英格兰,both,4,英超青训与英格兰世界杯?,青训英格兰,英超俱乐部青训为英格兰国家队提供人才，如曼联、切尔西、曼城青训均有国脚产出。,本土球员规则亦影响青训投入。,fact,"青训,英格兰,本土,培养","英超,俱乐部,世界杯",team:英格兰,,进阶,,,欧洲,zh-CN,culture,verified,,Premier League official records; FIFA World Cup statistics,,2026-06-05
WC-CLUB-00037,俱乐部与联赛,英超与世界杯,租借资格,both,4,英超租借球员能踢世界杯吗?,租借资格,英超俱乐部外租球员仍可被国家队征召，与效力哪支俱乐部无关。,征召以国家队注册与教练选择为准。,fact,"租借,征召,国家队,资格","英超,俱乐部,世界杯",,,进阶,,,全球,zh-CN,rule,verified,,Premier League official records; FIFA World Cup statistics,,2026-06-05
WC-CLUB-00038,俱乐部与联赛,英超与世界杯,国际比赛日,both,4,国际比赛日英超停赛吗?,国际比赛日,FIFA国际比赛日期间英超暂停联赛，以便球员参加世预赛等国家队赛事。,与世界杯决赛圈赛程安排相互衔接。,fact,"国际比赛日,世预赛,暂停,英超","英超,俱乐部,世界杯",,,入门,,,全球,zh-CN,rule,verified,,Premier League official records; FIFA World Cup statistics,,2026-06-05
WC-CLUB-00039,俱乐部与联赛,英超与世界杯,2010南非,both,4,2010世界杯英超球员概况?,2010南非,2010年南非世界杯时值英超赛季结束后，大量英超球员代表各国参赛，英格兰阵中几乎全为英超球员。,西班牙夺冠阵中亦有英超经历球员。,fact,"2010,南非,英超,英格兰","英超,俱乐部,世界杯",team:英格兰|tournament:2010年南非世界杯,,进阶,2010,2010,欧洲,zh-CN,stat,verified,,Premier League official records; FIFA World Cup statistics,,2026-06-05
WC-CLUB-00040,俱乐部与联赛,英超与世界杯,2014巴西,both,4,2014世界杯英超球员概况?,2014巴西,2014年巴西世界杯英格兰、比利时、法国等多国阵中均有大量当时效力英超的球员。,赛季结束时间与当届世界杯衔接。,fact,"2014,巴西,英超,比利时","英超,俱乐部,世界杯",tournament:2014年巴西世界杯,,进阶,2014,2014,全球,zh-CN,stat,verified,,Premier League official records; FIFA World Cup statistics,,2026-06-05
