task_id,phase,phase_name,task_order,task_name,task_type,output_file,target_rows,batch_size,status,priority,depends_on,acceptance_criteria,data_source_hint,estimated_hours,actual_rows,owner,notes
T000,0,项目基建,1,CSV表头与Schema定稿,design,docs/csv-schema-design.md,0,0,done,P0,,26列表头文档齐全且评审通过,,2,0,,
T001,0,项目基建,2,创建拒答策略表,data,data/refusal_policy.csv,3,3,done,P0,T000,含赌博/投注意图与友好拒答话术,,1,3,,
T002,0,项目基建,3,创建知识库空模板,data,data/knowledge_template.csv,0,0,done,P0,T000,表头与Schema一致,,0,0,,
T003,0,项目基建,4,编写任务主计划,planning,docs/task-plan.md,0,0,done,P0,T000,分阶段任务表与里程碑清晰,,2,0,,
T004,0,项目基建,5,定义ID与命名规范,design,docs/id-conventions.md,0,0,done,P0,T000,各分类缩写与序号规则文档化,,1,0,,
T005,0,项目基建,6,编写CSV校验脚本,infra,scripts/validate_knowledge.py,0,0,done,P0,T000,校验必填列/枚举值/ID唯一性/无赌博关键词,,4,0,,
T006,0,项目基建,7,编写批量合并脚本,infra,scripts/merge_batches.py,0,0,done,P1,T005,支持按batch文件合并到主CSV,,3,0,,
T007,0,项目基建,8,编写进度统计脚本,infra,scripts/progress_report.py,0,0,done,P1,T003,读取tasks.csv输出完成率与缺口,,2,0,,
T008,0,项目基建,9,建立实体索引表结构,data,data/entities.csv,0,0,done,P0,T000,表头就绪含team/player/tournament等,,1,0,,
T010,1,实体与索引,1,采集FIFA成员国实体(第一批),data,data/entities.csv,80,80,done,P0,T008,主要足球国家队中英名与别名,,3,80,,约80个常见国家队
T011,1,实体与索引,2,采集FIFA成员国实体(第二批),data,data/entities.csv,80,80,done,P1,T010,其余国家队与历史队名,,3,80,,
T012,1,实体与索引,3,采集世界杯届次实体(1930-1978),data,data/entities.csv,12,12,done,P0,T008,每届标准中英文名/host/年份,,2,12,,
T013,1,实体与索引,4,采集世界杯届次实体(1982-2006),data,data/entities.csv,12,12,done,P0,T012,,,2,12,,
T014,1,实体与索引,5,采集世界杯届次实体(2010-2026),data,data/entities.csv,5,5,done,P0,T013,,,1,5,,
T015,1,实体与索引,6,采集传奇球员实体(第一批),data,data/entities.csv,100,100,done,P1,T008,世界杯相关Top100球员标准名,,4,100,,
T016,1,实体与索引,7,采集传奇球员实体(第二批),data,data/entities.csv,100,100,done,P2,T015,扩展至200人,,4,100,,ENT-PLR batch 2
T017,1,实体与索引,8,采集名帅与裁判实体,data,data/entities.csv,60,60,done,P2,T008,世界杯冠军教练与知名裁判,,2,60,,ENT-COA/ENT-REF
T018,1,实体与索引,9,实体表质量抽检,review,data/entities.csv,0,0,done,P0,T014;T017,抽检10%无重复ID/别名可检索,,2,0,,docs/reviews/T018-entities-review.md
T020,2,术语百科,1,术语批次01:基础规则用语,data,data/knowledge_glossary.csv,50,50,done,P0,T005,覆盖越位/犯规/点球等50条,,3,50,,优先启动
T021,2,术语百科,2,术语批次02:位置与阵型,data,data/knowledge_glossary.csv,50,50,done,P0,T020,,,3,50,,
T022,2,术语百科,3,术语批次03:战术黑话,data,data/knowledge_glossary.csv,50,50,done,P1,T021,,,3,50,,
T023,2,术语百科,4,术语批次04:英文缩写,data,data/knowledge_glossary.csv,50,50,done,P1,T020,,,3,50,,
T024,2,术语百科,5,术语批次05:解说常用语,data,data/knowledge_glossary.csv,50,50,done,P1,T023,,,3,50,,
