id,category_l1,category_l2,category_l3,scope,priority,question,question_aliases,answer_short,answer_detail,answer_format,keywords,tags,entities,related_ids,difficulty,era_start,era_end,region,language,fact_type,confidence,source_type,source_ref,content_flags,updated_at
WC-RULE-00001,规则与裁判,比赛基本规则,开球,football_general,5,足球比赛如何开球?,中圈开球|开球规则,上下半场及加时开始由开球队在中圈开球，对方须在中圈外；开球可直接射门得分。,开球须至少一脚传递或触球后再进；开球方不得先触球两次。,definition,"开球,中圈,比赛开始,规则","基本规则,比赛规则",,,入门,,,全球,zh-CN,rule,official,IFAB,IFAB Laws of the Game 2024/25,,2026-06-03
WC-RULE-00002,规则与裁判,比赛基本规则,界外球,football_general,5,界外球怎么发?,掷界外球|边线球,球完全越过边线时，由非最后触球方在出界点双手过头掷界外球。,掷球时双脚须接触地面且在边线外或线上；违例判对方界外球。,definition,"界外球,边线,掷球,死球","基本规则,比赛规则",,,入门,,,全球,zh-CN,rule,official,IFAB,IFAB Laws of the Game 2024/25,,2026-06-03
WC-RULE-00003,规则与裁判,比赛基本规则,球门球,football_general,5,球门球怎么发?,守方球门球|球门区开球,攻方最后触球且球完全越过球门线未进球，守方在球门区内开球门球。,球须离开禁区后比赛才恢复；对方不得在禁区内等待触球。,definition,"球门球,防守,球门区,开球","基本规则,比赛规则",,,入门,,,全球,zh-CN,rule,official,IFAB,IFAB Laws of the Game 2024/25,,2026-06-03
WC-RULE-00004,规则与裁判,比赛基本规则,角球,football_general,5,角球怎么判?,攻方角球|角球区,守方最后触球且球完全越过球门线未进球，攻方在角球区开角球。,角球为直接任意球，可直接射门得分。,definition,"角球,进攻,定位球,球门线","基本规则,比赛规则",,,入门,,,全球,zh-CN,rule,official,IFAB,IFAB Laws of the Game 2024/25,,2026-06-03
WC-RULE-00005,规则与裁判,比赛基本规则,上场人数,football_general,5,足球比赛每队上场几人?,11人制|上场人数,每队同时上场11名球员，其中1名须为守门员；少于7人不得继续比赛。,世界杯正赛名单可报名26人，单场最多5次换人（含加时）。,definition,"上场人数,11人,守门员,换人","基本规则,比赛规则",,,入门,,,全球,zh-CN,rule,official,IFAB,IFAB Laws of the Game 2024/25,,2026-06-03
WC-RULE-00006,规则与裁判,比赛基本规则,比赛时间,football_general,5,一场足球赛踢多久?,90分钟|比赛时长,常规时间上下半场各45分钟，中场休息不超过15分钟，裁判可补时。,淘汰赛平局可加时上下半场各15分钟，仍平则点球大战。,definition,"比赛时间,45分钟,补时,加时","基本规则,比赛规则",,,入门,,,全球,zh-CN,rule,official,IFAB,IFAB Laws of the Game 2024/25,,2026-06-03
WC-RULE-00007,规则与裁判,比赛基本规则,半场休息,football_general,5,中场休息多久?,中场间隔|半场时间,中场休息通常不超过15分钟，具体时间由竞赛规程规定。,世界杯中场休息含更衣、战术调整及广告时段安排。,definition,"中场休息,15分钟,间隔,规程","基本规则,比赛规则",,,入门,,,全球,zh-CN,rule,official,IFAB,IFAB Laws of the Game 2024/25,,2026-06-03
WC-RULE-00008,规则与裁判,比赛基本规则,补时,football_general,5,伤停补时怎么算?,补时时间|第四官员举牌,裁判根据换人、治疗、拖延、VAR复核等损失时间决定上下半场补时。,第四官员举牌示意补时分钟数；补时内进球有效。,definition,"补时,伤停,第四官员,时间","基本规则,比赛规则",,,入门,,,全球,zh-CN,rule,official,IFAB,IFAB Laws of the Game 2024/25,,2026-06-03
WC-RULE-00009,规则与裁判,比赛基本规则,球门尺寸,football_general,5,标准球门多大?,球门宽度和高度,球门宽7.32米、高2.44米，立柱与横梁须白色且宽度一致。,球门须牢固固定；网可挂设但不得影响门将。,definition,"球门,7.32米,2.44米,尺寸","基本规则,比赛规则",,,入门,,,全球,zh-CN,rule,official,IFAB,IFAB Laws of the Game 2024/25,,2026-06-03
WC-RULE-00010,规则与裁判,比赛基本规则,禁区,football_general,5,禁区范围是多少?,罚球区|大禁区,禁区从球门线向场内延伸16.5米，两侧各16.5米宽，呈矩形区域。,禁区内守方犯规可判点球；门将手控球规则在禁区内适用。,definition,"禁区,16.5米,罚球区,点球","基本规则,比赛规则",,,入门,,,全球,zh-CN,rule,official,IFAB,IFAB Laws of the Game 2024/25,,2026-06-03
WC-RULE-00011,规则与裁判,比赛基本规则,小禁区,football_general,5,小禁区是什么?,球门区|六码区,小禁区从球门线延伸5.5米，宽5.5米，用于球门球与部分任意球摆放。,球门球须在小禁区或球门区内开出。,definition,"小禁区,5.5米,球门区,球门球","基本规则,比赛规则",,,入门,,,全球,zh-CN,rule,official,IFAB,IFAB Laws of the Game 2024/25,,2026-06-03
WC-RULE-00012,规则与裁判,比赛基本规则,点球点,football_general,5,点球点在哪里?,十二码点|罚球点,点球点距球门线11米，位于禁区中央，点球须从该点主罚。,点球大战每队轮流主罚5球，平局则进入突然死亡。,definition,"点球点,11米,十二码,主罚","基本规则,比赛规则",,,入门,,,全球,zh-CN,rule,official,IFAB,IFAB Laws of the Game 2024/25,,2026-06-03
WC-RULE-00013,规则与裁判,比赛基本规则,中圈,football_general,5,中圈有什么作用?,中圈半径|开球区,中圈半径9.15米，开球时对方球员须在中圈外。,中圈也用于赛前仪式站位，不用于日常判罚区。,definition,"中圈,9.15米,开球,站位","基本规则,比赛规则",,,入门,,,全球,zh-CN,rule,official,IFAB,IFAB Laws of the Game 2024/25,,2026-06-03
WC-RULE-00014,规则与裁判,比赛基本规则,场地尺寸,football_general,5,标准足球场多大?,球场长度宽度,国际比赛场地长100–110米、宽64–75米，须为矩形天然或人工草皮。,世界杯对草皮质量、排水及划线颜色有专门要求。,definition,"场地,尺寸,草皮,国际比赛","基本规则,比赛规则",,,入门,,,全球,zh-CN,rule,official,IFAB,IFAB Laws of the Game 2024/25,,2026-06-03
WC-RULE-00015,规则与裁判,比赛基本规则,球出界,football_general,5,怎样算球出界?,完全越过线|出界判定,球须完全越过边线或球门线才算出界；压线仍算场内。,门线技术用于辅助判定是否完全过线。,definition,"出界,球门线,边线,门线技术","基本规则,比赛规则",,,入门,,,全球,zh-CN,rule,official,IFAB,IFAB Laws of the Game 2024/25,,2026-06-03
