id,category_l1,category_l2,category_l3,scope,priority,question,question_aliases,answer_short,answer_detail,answer_format,keywords,tags,entities,related_ids,difficulty,era_start,era_end,region,language,fact_type,confidence,source_type,source_ref,content_flags,updated_at
WC-WCED-01001,历届世界杯,第01届1930乌拉圭,届次概览,world_cup,5,1930年世界杯是第几届?,第一届世界杯|首届,1930年乌拉圭世界杯为男子世界杯第1届，也是史上首届。,FIFA于1930年在南美首次举办全球国家队决赛圈赛事。,fact,"1930,第1届,首届,乌拉圭","历届,1930,乌拉圭",tournament:1930年乌拉圭世界杯,,入门,1930,1930,全球,zh-CN,history,official,historical_record,FIFA 1930 World Cup official report / historical records,,2026-06-03
WC-WCED-01002,历届世界杯,第01届1930乌拉圭,冠军,world_cup,5,1930年世界杯冠军是谁?,1930冠军|首届冠军,乌拉圭队夺冠，决赛4比2击败阿根廷。,东道主乌拉圭成为世界杯史上首个冠军，奠定南美早期强势格局。,fact,"1930,冠军,乌拉圭,阿根廷","历届,1930,乌拉圭",tournament:1930年乌拉圭世界杯|team:乌拉圭|team:阿根廷,,入门,1930,1930,南美,zh-CN,history,official,historical_record,FIFA 1930 World Cup official report / historical records,,2026-06-03
WC-WCED-01003,历届世界杯,第01届1930乌拉圭,亚军,world_cup,5,1930年世界杯亚军是谁?,1930亚军,阿根廷队获亚军，决赛2比4不敌乌拉圭。,决赛在蒙得维的亚世纪球场进行，为拉普拉塔河床德比式对决。,fact,"1930,亚军,阿根廷,决赛","历届,1930,乌拉圭",tournament:1930年乌拉圭世界杯|team:阿根廷,,入门,1930,1930,南美,zh-CN,history,official,historical_record,FIFA 1930 World Cup official report / historical records,,2026-06-03
WC-WCED-01004,历届世界杯,第01届1930乌拉圭,季军,world_cup,5,1930年世界杯季军是谁?,1930第三名,美国队获季军，当时未设三四名决赛。,按小组赛与半决赛成绩排名，美国为首届世界杯最佳北美成绩之一。,fact,"1930,季军,美国,排名","历届,1930,乌拉圭",tournament:1930年乌拉圭世界杯,,进阶,1930,1930,全球,zh-CN,history,official,historical_record,FIFA 1930 World Cup official report / historical records,,2026-06-03
WC-WCED-01005,历届世界杯,第01届1930乌拉圭,第四名,world_cup,5,1930年世界杯第四名?,1930殿军,南斯拉夫队获第四名，为当届欧洲球队最佳成绩。,南斯拉夫小组赛击败巴西，半决赛1比6负乌拉圭。,fact,"1930,南斯拉夫,第四名,欧洲","历届,1930,乌拉圭",tournament:1930年乌拉圭世界杯|team:南斯拉夫,,进阶,1930,1930,欧洲,zh-CN,history,official,historical_record,FIFA 1930 World Cup official report / historical records,,2026-06-03
WC-WCED-01006,历届世界杯,第01届1930乌拉圭,参赛规模,world_cup,5,1930年世界杯多少队参赛?,1930参赛队数,共13支球队参赛，为世界杯史上最少的一届。,后届逐步扩军，1998年起长期为32队，2026将增至48队。,fact,"1930,13队,参赛,规模","历届,1930,乌拉圭",tournament:1930年乌拉圭世界杯,,入门,1930,1930,全球,zh-CN,history,official,historical_record,FIFA 1930 World Cup official report / historical records,,2026-06-03
WC-WCED-01007,历届世界杯,第01届1930乌拉圭,开幕日期,world_cup,5,1930年世界杯何时开幕?,1930开幕,1930年7月13日开幕，首场比赛在法国对墨西哥。,整个赛期集中在7月，约两周半结束。,fact,"1930,7月13日,开幕,首赛","历届,1930,乌拉圭",tournament:1930年乌拉圭世界杯,,入门,1930,1930,全球,zh-CN,history,official,historical_record,FIFA 1930 World Cup official report / historical records,,2026-06-03
WC-WCED-01008,历届世界杯,第01届1930乌拉圭,闭幕日期,world_cup,5,1930年世界杯何时结束?,1930闭幕,1930年7月30日决赛后闭幕，赛期约18天。,赛程较现代世界杯更短，小组赛与淘汰赛衔接紧密。,fact,"1930,7月30日,闭幕,赛期","历届,1930,乌拉圭",tournament:1930年乌拉圭世界杯,,入门,1930,1930,全球,zh-CN,history,official,historical_record,FIFA 1930 World Cup official report / historical records,,2026-06-03
WC-WCED-01009,历届世界杯,第01届1930乌拉圭,主办城市,world_cup,5,1930年世界杯在哪座城市?,1930主办城市,主要在乌拉圭首都蒙得维的亚举行，三座城市承办比赛。,蒙得维的亚为赛事核心，其余场次在附近城市。,fact,"1930,蒙得维的亚,主办,首都","历届,1930,乌拉圭",tournament:1930年乌拉圭世界杯,,入门,1930,1930,南美,zh-CN,history,official,historical_record,FIFA 1930 World Cup official report / historical records,,2026-06-03
WC-WCED-01010,历届世界杯,第01届1930乌拉圭,主办背景,world_cup,5,为何乌拉圭主办首届?,1930主办原因,乌拉圭1924与1928奥运足球冠军，又逢独立百年庆典。,FIFA接受其申办，南美成为首届世界杯东道主。,timeline,"1930,主办,奥运,百年","历届,1930,乌拉圭",tournament:1930年乌拉圭世界杯,,入门,1930,1930,南美,zh-CN,history,official,historical_record,FIFA 1930 World Cup official report / historical records,,2026-06-03
WC-WCED-01011,历届世界杯,第01届1930乌拉圭,无预选赛,world_cup,5,1930年有预选赛吗?,1930预选赛,首届无预选赛，由FIFA邀请各洲会员协会参赛。,部分欧洲球队因跨洋旅行成本高一度犹豫是否赴赛。,fact,"1930,无预选赛,邀请,FIFA","历届,1930,乌拉圭",tournament:1930年乌拉圭世界杯,,进阶,1930,1930,全球,zh-CN,history,official,historical_record,FIFA 1930 World Cup official report / historical records,,2026-06-03
WC-WCED-01012,历届世界杯,第01届1930乌拉圭,欧洲参赛,world_cup,5,1930年欧洲几队参赛?,1930欧洲球队,欧洲仅比利时、法国、罗马尼亚、南斯拉夫四队跨洋参赛。,英格兰、意大利、西班牙等当时未参加首届。,fact,"1930,欧洲,四队,跨洋","历届,1930,乌拉圭",tournament:1930年乌拉圭世界杯,,进阶,1930,1930,欧洲,zh-CN,history,official,historical_record,FIFA 1930 World Cup official report / historical records,,2026-06-03
WC-WCED-01013,历届世界杯,第01届1930乌拉圭,南美参赛,world_cup,5,1930年南美几队参赛?,1930南美球队,南美七队：乌拉圭、阿根廷、巴西、玻利维亚、智利、巴拉圭、秘鲁。,南美球队占首届参赛队半数以上。,list,"1930,南美,七队,参赛","历届,1930,乌拉圭",tournament:1930年乌拉圭世界杯,,入门,1930,1930,南美,zh-CN,history,official,historical_record,FIFA 1930 World Cup official report / historical records,,2026-06-03
WC-WCED-01014,历届世界杯,第01届1930乌拉圭,北美参赛,world_cup,5,1930年北美几队参赛?,1930北美球队,北美两队：美国与墨西哥。,美国当届获季军，为北美早期世界杯高光。,fact,"1930,北美,美国,墨西哥","历届,1930,乌拉圭",tournament:1930年乌拉圭世界杯|team:美国|team:墨西哥,,入门,1930,1930,全球,zh-CN,history,official,historical_record,FIFA 1930 World Cup official report / historical records,,2026-06-03
WC-WCED-01015,历届世界杯,第01届1930乌拉圭,赛制概览,world_cup,5,1930年世界杯赛制怎样?,1930赛制,13队分4组单循环，各组头名出线进入半决赛，再踢决赛。,无16强或8强阶段，为早期简化淘汰赛结构。,definition,"1930,赛制,小组,头名","历届,1930,乌拉圭",tournament:1930年乌拉圭世界杯,,入门,1930,1930,全球,zh-CN,history,official,historical_record,FIFA 1930 World Cup official report / historical records,,2026-06-03
WC-WCED-01016,历届世界杯,第01届1930乌拉圭,小组数量,world_cup,5,1930年分几个小组?,1930小组,共分4个小组，其中两组4队、两组3队。,因13队无法均分，出现3队小组只踢2场的情况。,fact,"1930,4组,13队,分组","历届,1930,乌拉圭",tournament:1930年乌拉圭世界杯,,进阶,1930,1930,全球,zh-CN,history,official,historical_record,FIFA 1930 World Cup official report / historical records,,2026-06-03
WC-WCED-01017,历届世界杯,第01届1930乌拉圭,三四名赛,world_cup,5,1930年有季军战吗?,1930三四名,没有三四名决赛，季军按成绩表直接认定。,美国因此成为官方季军，南斯拉夫为第四名。,fact,"1930,无季军战,排名,美国","历届,1930,乌拉圭",tournament:1930年乌拉圭世界杯,,进阶,1930,1930,全球,zh-CN,history,official,historical_record,FIFA 1930 World Cup official report / historical records,,2026-06-03
WC-WCED-01018,历届世界杯,第01届1930乌拉圭,总场次,world_cup,5,1930年共踢多少场?,1930场次,共18场比赛，含14场小组赛与4场淘汰赛。,现代32队时代决赛圈为64场，规模差异显著。,fact,"1930,18场,小组赛,淘汰","历届,1930,乌拉圭",tournament:1930年乌拉圭世界杯,,入门,1930,1930,全球,zh-CN,history,official,historical_record,FIFA 1930 World Cup official report / historical records,,2026-06-03
WC-WCED-01019,历届世界杯,第01届1930乌拉圭,总进球,world_cup,5,1930年一共进了多少球?,1930总进球,当届共打入70球，场均约3.9球。,进攻型比赛较多，阿根廷、乌拉圭进球效率突出。,fact,"1930,70球,进球,场均","历届,1930,乌拉圭",tournament:1930年乌拉圭世界杯,,进阶,1930,1930,全球,zh-CN,history,official,historical_record,FIFA 1930 World Cup official report / historical records,,2026-06-03
WC-WCED-01020,历届世界杯,第01届1930乌拉圭,决赛比分,world_cup,5,1930年决赛比分多少?,1930决赛比分,乌拉圭4比2胜阿根廷。,为世界杯史上首场冠军争夺战，载入FIFA官方档案。,fact,"1930,决赛,4比2,乌拉圭","历届,1930,乌拉圭",tournament:1930年乌拉圭世界杯|team:乌拉圭|team:阿根廷,,入门,1930,1930,南美,zh-CN,history,official,historical_record,FIFA 1930 World Cup official report / historical records,,2026-06-03
WC-WCED-01021,历届世界杯,第01届1930乌拉圭,决赛日期,world_cup,5,1930年决赛哪天?,1930决赛日期,决赛于1930年7月30日在世纪球场举行。,同日产生世界杯史上第一位冠军。,fact,"1930,7月30日,决赛,世纪球场","历届,1930,乌拉圭",tournament:1930年乌拉圭世界杯,,入门,1930,1930,南美,zh-CN,history,official,historical_record,FIFA 1930 World Cup official report / historical records,,2026-06-03
WC-WCED-01022,历届世界杯,第01届1930乌拉圭,决赛球场,world_cup,5,1930年决赛在哪踢?,1930决赛场地,蒙得维的亚世纪球场，为乌拉圭独立百年庆典而建。,该球场至今仍是乌拉圭足球地标，可参观世界杯博物馆。,fact,"1930,世纪球场,决赛,蒙得维的亚","历届,1930,乌拉圭",tournament:1930年乌拉圭世界杯|venue:世纪球场,,入门,1930,1930,南美,zh-CN,history,official,historical_record,FIFA 1930 World Cup official report / historical records,,2026-06-03
WC-WCED-01023,历届世界杯,第01届1930乌拉圭,世纪球场,world_cup,5,世纪球场何时启用?,Centenario开幕,世纪球场1930年7月18日揭幕，赛事期间才投入使用。,揭幕战前部分比赛在格兰球场与波西托斯球场进行。,fact,"1930,世纪球场,7月18日,揭幕","历届,1930,乌拉圭",tournament:1930年乌拉圭世界杯|venue:世纪球场,,进阶,1930,1930,南美,zh-CN,history,official,historical_record,FIFA 1930 World Cup official report / historical records,,2026-06-03
WC-WCED-01024,历届世界杯,第01届1930乌拉圭,比赛场馆,world_cup,5,1930年用了几座球场?,1930球场,共3座：世纪球场、格兰球场、波西托斯球场。,均位于蒙得维的亚及近郊，无跨国场馆。,list,"1930,三球场,格兰,波西托斯","历届,1930,乌拉圭",tournament:1930年乌拉圭世界杯,,进阶,1930,1930,南美,zh-CN,history,official,historical_record,FIFA 1930 World Cup official report / historical records,,2026-06-03
WC-WCED-01025,历届世界杯,第01届1930乌拉圭,格兰球场,world_cup,5,格兰球场承办哪些赛?,Parque Central,格兰球场承办多场小组赛，包括早期法国对墨西哥等。,国民与佩纳罗尔共用传统主场，首届时容量较小。,fact,"1930,格兰球场,小组赛,蒙得维的亚","历届,1930,乌拉圭",tournament:1930年乌拉圭世界杯|venue:格兰球场,,进阶,1930,1930,南美,zh-CN,history,official,historical_record,FIFA 1930 World Cup official report / historical records,,2026-06-03
WC-WCED-01026,历届世界杯,第01届1930乌拉圭,波西托斯球场,world_cup,5,波西托斯球场角色?,Pocitos球场,波西托斯球场承办部分小组赛，后已拆除。,首届时作为世纪球场竣工前的备用场地。,fact,"1930,波西托斯,小组赛,已拆除","历届,1930,乌拉圭",tournament:1930年乌拉圭世界杯|venue:波西托斯球场,,进阶,1930,1930,南美,zh-CN,history,official,historical_record,FIFA 1930 World Cup official report / historical records,,2026-06-03
WC-WCED-01027,历届世界杯,第01届1930乌拉圭,射手王,world_cup,5,1930年世界杯金靴是谁?,1930最佳射手,阿根廷斯塔比莱8球为当届最佳射手（后由档案认定）。,当时尚未设立官方金靴奖，现代统计回溯认定。,fact,"1930,斯塔比莱,8球,射手","历届,1930,乌拉圭",tournament:1930年乌拉圭世界杯|team:阿根廷|player:斯塔比莱,,入门,1930,1930,南美,zh-CN,history,official,historical_record,FIFA 1930 World Cup official report / historical records,,2026-06-03
WC-WCED-01028,历届世界杯,第01届1930乌拉圭,乌拉圭射手,world_cup,5,1930年乌拉圭谁进球多?,1930乌拉圭射手,佩德罗·塞阿5球为乌拉圭队内最佳射手。,决赛塞阿梅开二度，是夺冠关键球员之一。,fact,"1930,塞阿,5球,乌拉圭","历届,1930,乌拉圭",tournament:1930年乌拉圭世界杯|team:乌拉圭|player:塞阿,,进阶,1930,1930,南美,zh-CN,history,official,historical_record,FIFA 1930 World Cup official report / historical records,,2026-06-03
WC-WCED-01029,历届世界杯,第01届1930乌拉圭,智利射手,world_cup,5,1930年智利最佳射手?,1930智利射手,苏比亚夫雷4球，为智利当届进球最多球员。,智利小组赛对墨西哥有进球贡献。,fact,"1930,苏比亚夫雷,智利,4球","历届,1930,乌拉圭",tournament:1930年乌拉圭世界杯|team:智利|player:苏比亚夫雷,,进阶,1930,1930,南美,zh-CN,history,official,historical_record,FIFA 1930 World Cup official report / historical records,,2026-06-03
WC-WCED-01030,历届世界杯,第01届1930乌拉圭,历史首球,world_cup,5,世界杯历史第一球谁进?,1930首球,1930年7月13日法国劳伦特对墨西哥攻入世界杯史上首球。,该场法国最终4比1胜墨西哥，载入FIFA官方记录。,fact,"1930,首球,劳伦特,法国","历届,1930,乌拉圭",tournament:1930年乌拉圭世界杯|team:法国|player:劳伦特,,入门,1930,1930,全球,zh-CN,history,official,historical_record,FIFA 1930 World Cup official report / historical records,,2026-06-03
WC-WCED-01031,历届世界杯,第01届1930乌拉圭,首场赛果,world_cup,5,世界杯首场比分多少?,1930首场,首场法国4比1胜墨西哥，1930年7月13日进行。,同时诞生世界杯历史第一球与第一场胜利。,fact,"1930,首场,法国,墨西哥","历届,1930,乌拉圭",tournament:1930年乌拉圭世界杯|team:法国|team:墨西哥,,入门,1930,1930,全球,zh-CN,history,official,historical_record,FIFA 1930 World Cup official report / historical records,,2026-06-03
WC-WCED-01032,历届世界杯,第01届1930乌拉圭,最高比分,world_cup,5,1930年最大比分差?,1930大比分,阿根廷6比3胜墨西哥，为当届进球最多之一。,早期防守组织弱于现代，大比分场次相对常见。,fact,"1930,6比3,阿根廷,墨西哥","历届,1930,乌拉圭",tournament:1930年乌拉圭世界杯|team:阿根廷|team:墨西哥,,进阶,1930,1930,南美,zh-CN,history,official,historical_record,FIFA 1930 World Cup official report / historical records,,2026-06-03
WC-WCED-01033,历届世界杯,第01届1930乌拉圭,半决赛乌拉圭,world_cup,5,乌拉圭半决赛赢几比几?,1930乌拉圭半决赛,乌拉圭半决赛6比1大胜南斯拉夫。,主队进攻火力全开，顺利挺进决赛。,fact,"1930,半决赛,乌拉圭,6比1","历届,1930,乌拉圭",tournament:1930年乌拉圭世界杯|team:乌拉圭|team:南斯拉夫,,进阶,1930,1930,南美,zh-CN,history,official,historical_record,FIFA 1930 World Cup official report / historical records,,2026-06-03
WC-WCED-01034,历届世界杯,第01届1930乌拉圭,半决赛阿根廷,world_cup,5,阿根廷半决赛赢几比几?,1930阿根廷半决赛,阿根廷半决赛6比1大胜美国。,斯塔比莱继续进球，美国虽败仍创季军纪录。,fact,"1930,半决赛,阿根廷,6比1","历届,1930,乌拉圭",tournament:1930年乌拉圭世界杯|team:阿根廷|team:美国,,进阶,1930,1930,全球,zh-CN,history,official,historical_record,FIFA 1930 World Cup official report / historical records,,2026-06-03
WC-WCED-01035,历届世界杯,第01届1930乌拉圭,南斯拉夫胜巴西,world_cup,5,1930年谁淘汰巴西?,1930巴西出局,南斯拉夫小组赛2比1击败巴西，巴西未能出线。,为巴西首届世界杯早期挫折，南斯拉夫则创欧洲最佳。,fact,"1930,南斯拉夫,巴西,2比1","历届,1930,乌拉圭",tournament:1930年乌拉圭世界杯|team:南斯拉夫|team:巴西,,进阶,1930,1930,南美,zh-CN,history,official,historical_record,FIFA 1930 World Cup official report / historical records,,2026-06-03
WC-WCED-01036,历届世界杯,第01届1930乌拉圭,美国胜比利时,world_cup,5,1930年美国对比利时?,1930美国比利时,美国小组赛3比0胜比利时，两战全胜出线。,比利时为欧洲四队之一，跨洋参赛却小组出局。,fact,"1930,美国,比利时,3比0","历届,1930,乌拉圭",tournament:1930年乌拉圭世界杯|team:美国|team:比利时,,入门,1930,1930,全球,zh-CN,history,official,historical_record,FIFA 1930 World Cup official report / historical records,,2026-06-03
WC-WCED-01037,历届世界杯,第01届1930乌拉圭,乌拉圭胜罗马尼亚,world_cup,5,1930年乌拉圭对罗马尼亚?,1930乌拉圭罗马尼亚,乌拉圭4比0胜罗马尼亚，小组赛两战全胜。,罗马尼亚长途海运赴赛，体能与磨合受限。,fact,"1930,乌拉圭,罗马尼亚,4比0","历届,1930,乌拉圭",tournament:1930年乌拉圭世界杯|team:乌拉圭|team:罗马尼亚,,进阶,1930,1930,南美,zh-CN,history,official,historical_record,FIFA 1930 World Cup official report / historical records,,2026-06-03
WC-WCED-01038,历届世界杯,第01届1930乌拉圭,阿根廷胜法国,world_cup,5,1930年阿根廷对法国?,1930阿根廷法国,阿根廷1比0小胜法国，小组赛关键胜利。,法国虽攻入世界杯首球，但小组未能出线。,fact,"1930,阿根廷,法国,1比0","历届,1930,乌拉圭",tournament:1930年乌拉圭世界杯|team:阿根廷|team:法国,,进阶,1930,1930,全球,zh-CN,history,official,historical_record,FIFA 1930 World Cup official report / historical records,,2026-06-03
WC-WCED-01039,历届世界杯,第01届1930乌拉圭,玻利维亚惨败,world_cup,5,1930年玻利维亚成绩?,1930玻利维亚,玻利维亚0比4负南斯拉夫，小组垫底出局。,玻利维亚首次参加世界杯，经验不足。,fact,"1930,玻利维亚,南斯拉夫,0比4","历届,1930,乌拉圭",tournament:1930年乌拉圭世界杯|team:玻利维亚,,入门,1930,1930,南美,zh-CN,history,official,historical_record,FIFA 1930 World Cup official report / historical records,,2026-06-03
WC-WCED-01040,历届世界杯,第01届1930乌拉圭,巴拉圭出局,world_cup,5,1930年巴拉圭成绩?,1930巴拉圭,巴拉圭小组赛两连败，分别负美国与比利时。,南美球队中巴拉圭与玻利维亚未能小组出线。,fact,"1930,巴拉圭,小组赛,出局","历届,1930,乌拉圭",tournament:1930年乌拉圭世界杯|team:巴拉圭,,入门,1930,1930,南美,zh-CN,history,official,historical_record,FIFA 1930 World Cup official report / historical records,,2026-06-03
WC-WCED-01041,历届世界杯,第01届1930乌拉圭,秘鲁罗马尼亚,world_cup,5,1930年秘鲁对罗马尼亚?,1930秘鲁罗马尼亚,秘鲁3比1胜罗马尼亚，取得小组赛唯一胜利。,罗马尼亚随后未能再取积分，小组出局。,fact,"1930,秘鲁,罗马尼亚,3比1","历届,1930,乌拉圭",tournament:1930年乌拉圭世界杯|team:秘鲁|team:罗马尼亚,,进阶,1930,1930,南美,zh-CN,history,official,historical_record,FIFA 1930 World Cup official report / historical records,,2026-06-03
