id,category_l1,category_l2,category_l3,scope,priority,question,question_aliases,answer_short,answer_detail,answer_format,keywords,tags,entities,related_ids,difficulty,era_start,era_end,region,language,fact_type,confidence,source_type,source_ref,content_flags,updated_at
WC-VTEC-00001,场地装备与科技,足球规则与规格,足球规则与规格要点1,both,4,世界杯用球标准?,用球标准,FIFA认证比赛用球，每届由阿迪达斯等赞助商提供专属球。,2022年Al Rihla、2018年Telstar等。,fact,"用球,FIFA,阿迪达斯,标准","场地,足球规则与规格,科技",,,入门,,,全球,zh-CN,term,verified,,FIFA World Cup official records; documented match statistics,,2026-06-05
WC-VTEC-00002,场地装备与科技,足球规则与规格,足球规则与规格要点2,both,4,世界杯场地尺寸?,场地尺寸,标准足球场长100-110米、宽64-75米，世界杯球场须符合FIFA认证。,各球场尺寸在允许范围内。,fact,"场地,尺寸,FIFA,球场","场地,足球规则与规格,科技",,,入门,,,全球,zh-CN,term,verified,,FIFA World Cup official records; documented match statistics,,2026-06-05
WC-VTEC-00003,场地装备与科技,足球规则与规格,足球规则与规格要点3,both,4,世界杯球门尺寸?,球门尺寸,球门宽7.32米、高2.44米，全球统一标准。,IFAB规则规定。,fact,"球门,尺寸,7.32,2.44","场地,足球规则与规格,科技",,,入门,,,全球,zh-CN,term,verified,,FIFA World Cup official records; documented match statistics,,2026-06-05
WC-VTEC-00004,场地装备与科技,足球规则与规格,足球规则与规格要点4,both,4,世界杯比赛用球气压?,球气压,比赛用球气压由IFAB规定范围，裁判赛前检查。,过高或过低影响控球。,fact,"气压,用球,IFAB,裁判","场地,足球规则与规格,科技",,,入门,,,全球,zh-CN,term,verified,,FIFA World Cup official records; documented match statistics,,2026-06-05
WC-VTEC-00005,场地装备与科技,足球规则与规格,足球规则与规格要点5,both,4,世界杯替补人数?,替补人数,2022年起大名单26人，每场可换5人。,2026年预计延续五换。,fact,"替补,26人,五换,大名单","场地,足球规则与规格,科技",,,入门,,,全球,zh-CN,term,verified,,FIFA World Cup official records; documented match statistics,,2026-06-05
WC-VTEC-00006,场地装备与科技,足球规则与规格,足球规则与规格要点6,both,4,1930年世界杯足球规则与规格开幕式有何亮点?,1930足球规则与规格开幕式,1930年乌拉圭主办，乌拉圭夺冠，足球规则与规格在开幕式阶段有代表事件。,该届共70球，决赛蒙得维的亚。,fact,"1930,足球规则与规格,开幕式,乌拉圭","场地,足球规则与规格,科技",,,入门,,,全球,zh-CN,term,verified,,FIFA World Cup official records; documented match statistics,,2026-06-05
WC-VTEC-00007,场地装备与科技,足球规则与规格,足球规则与规格要点7,both,4,1934年世界杯足球规则与规格开幕式有何亮点?,1934足球规则与规格开幕式,1934年意大利主办，意大利夺冠，足球规则与规格在开幕式阶段有代表事件。,该届共70球，决赛罗马。,fact,"1934,足球规则与规格,开幕式,意大利","场地,足球规则与规格,科技",,,入门,,,全球,zh-CN,term,verified,,FIFA World Cup official records; documented match statistics,,2026-06-05
WC-VTEC-00008,场地装备与科技,足球规则与规格,足球规则与规格要点8,both,4,1938年世界杯足球规则与规格开幕式有何亮点?,1938足球规则与规格开幕式,1938年法国主办，意大利夺冠，足球规则与规格在开幕式阶段有代表事件。,该届共84球，决赛巴黎。,fact,"1938,足球规则与规格,开幕式,法国","场地,足球规则与规格,科技",,,入门,,,全球,zh-CN,term,verified,,FIFA World Cup official records; documented match statistics,,2026-06-05
WC-VTEC-00009,场地装备与科技,足球规则与规格,足球规则与规格要点9,both,4,1950年世界杯足球规则与规格开幕式有何亮点?,1950足球规则与规格开幕式,1950年巴西主办，乌拉圭夺冠，足球规则与规格在开幕式阶段有代表事件。,该届共88球，决赛里约热内卢。,fact,"1950,足球规则与规格,开幕式,巴西","场地,足球规则与规格,科技",,,入门,,,全球,zh-CN,term,verified,,FIFA World Cup official records; documented match statistics,,2026-06-05
WC-VTEC-00010,场地装备与科技,足球规则与规格,足球规则与规格要点10,both,4,1954年世界杯足球规则与规格开幕式有何亮点?,1954足球规则与规格开幕式,1954年瑞士主办，西德夺冠，足球规则与规格在开幕式阶段有代表事件。,该届共140球，决赛伯尔尼。,fact,"1954,足球规则与规格,开幕式,瑞士","场地,足球规则与规格,科技",,,入门,,,全球,zh-CN,term,verified,,FIFA World Cup official records; documented match statistics,,2026-06-05
WC-VTEC-00011,场地装备与科技,足球规则与规格,足球规则与规格知识1,both,4,1958年世界杯足球规则与规格开幕式有何亮点?,1958足球规则与规格开幕式,1958年瑞典主办，巴西夺冠，足球规则与规格在开幕式阶段有代表事件。,该届共126球，决赛斯德哥尔摩。,fact,"1958,足球规则与规格,开幕式,瑞典","场地,足球规则与规格,科技",,,入门,,,全球,zh-CN,term,verified,,FIFA World Cup official records; documented match statistics,,2026-06-05
WC-VTEC-00012,场地装备与科技,足球规则与规格,足球规则与规格知识2,both,4,1962年世界杯足球规则与规格开幕式有何亮点?,1962足球规则与规格开幕式,1962年智利主办，巴西夺冠，足球规则与规格在开幕式阶段有代表事件。,该届共89球，决赛圣地亚哥。,fact,"1962,足球规则与规格,开幕式,智利","场地,足球规则与规格,科技",,,入门,,,全球,zh-CN,term,verified,,FIFA World Cup official records; documented match statistics,,2026-06-05
WC-VTEC-00013,场地装备与科技,足球规则与规格,足球规则与规格知识3,both,4,1966年世界杯足球规则与规格开幕式有何亮点?,1966足球规则与规格开幕式,1966年英格兰主办，英格兰夺冠，足球规则与规格在开幕式阶段有代表事件。,该届共89球，决赛伦敦。,fact,"1966,足球规则与规格,开幕式,英格兰","场地,足球规则与规格,科技",,,入门,,,全球,zh-CN,term,verified,,FIFA World Cup official records; documented match statistics,,2026-06-05
WC-VTEC-00014,场地装备与科技,足球规则与规格,足球规则与规格知识4,both,4,1970年世界杯足球规则与规格开幕式有何亮点?,1970足球规则与规格开幕式,1970年墨西哥主办，巴西夺冠，足球规则与规格在开幕式阶段有代表事件。,该届共95球，决赛墨西哥城。,fact,"1970,足球规则与规格,开幕式,墨西哥","场地,足球规则与规格,科技",,,入门,,,全球,zh-CN,term,verified,,FIFA World Cup official records; documented match statistics,,2026-06-05
WC-VTEC-00015,场地装备与科技,足球规则与规格,足球规则与规格知识5,both,4,1974年世界杯足球规则与规格开幕式有何亮点?,1974足球规则与规格开幕式,1974年西德主办，西德夺冠，足球规则与规格在开幕式阶段有代表事件。,该届共97球，决赛慕尼黑。,fact,"1974,足球规则与规格,开幕式,西德","场地,足球规则与规格,科技",,,入门,,,全球,zh-CN,term,verified,,FIFA World Cup official records; documented match statistics,,2026-06-05
WC-VTEC-00016,场地装备与科技,足球规则与规格,足球规则与规格知识6,both,4,1978年世界杯足球规则与规格开幕式有何亮点?,1978足球规则与规格开幕式,1978年阿根廷主办，阿根廷夺冠，足球规则与规格在开幕式阶段有代表事件。,该届共102球，决赛布宜诺斯艾利斯。,fact,"1978,足球规则与规格,开幕式,阿根廷","场地,足球规则与规格,科技",,,入门,,,全球,zh-CN,term,verified,,FIFA World Cup official records; documented match statistics,,2026-06-05
WC-VTEC-00017,场地装备与科技,足球规则与规格,足球规则与规格知识7,both,4,1982年世界杯足球规则与规格开幕式有何亮点?,1982足球规则与规格开幕式,1982年西班牙主办，意大利夺冠，足球规则与规格在开幕式阶段有代表事件。,该届共146球，决赛马德里。,fact,"1982,足球规则与规格,开幕式,西班牙","场地,足球规则与规格,科技",,,入门,,,全球,zh-CN,term,verified,,FIFA World Cup official records; documented match statistics,,2026-06-05
WC-VTEC-00018,场地装备与科技,足球规则与规格,足球规则与规格知识8,both,4,1986年世界杯足球规则与规格开幕式有何亮点?,1986足球规则与规格开幕式,1986年墨西哥主办，阿根廷夺冠，足球规则与规格在开幕式阶段有代表事件。,该届共132球，决赛墨西哥城。,fact,"1986,足球规则与规格,开幕式,墨西哥","场地,足球规则与规格,科技",,,入门,,,全球,zh-CN,term,verified,,FIFA World Cup official records; documented match statistics,,2026-06-05
WC-VTEC-00019,场地装备与科技,足球规则与规格,足球规则与规格知识9,both,4,1990年世界杯足球规则与规格开幕式有何亮点?,1990足球规则与规格开幕式,1990年意大利主办，西德夺冠，足球规则与规格在开幕式阶段有代表事件。,该届共115球，决赛罗马。,fact,"1990,足球规则与规格,开幕式,意大利","场地,足球规则与规格,科技",,,入门,,,全球,zh-CN,term,verified,,FIFA World Cup official records; documented match statistics,,2026-06-05
WC-VTEC-00020,场地装备与科技,足球规则与规格,足球规则与规格知识10,both,4,1994年世界杯足球规则与规格开幕式有何亮点?,1994足球规则与规格开幕式,1994年美国主办，巴西夺冠，足球规则与规格在开幕式阶段有代表事件。,该届共141球，决赛帕萨迪纳。,fact,"1994,足球规则与规格,开幕式,美国","场地,足球规则与规格,科技",,,入门,,,全球,zh-CN,term,verified,,FIFA World Cup official records; documented match statistics,,2026-06-05
WC-VTEC-00021,场地装备与科技,足球规则与规格,足球规则与规格知识11,both,4,1998年世界杯足球规则与规格开幕式有何亮点?,1998足球规则与规格开幕式,1998年法国主办，法国夺冠，足球规则与规格在开幕式阶段有代表事件。,该届共171球，决赛圣但尼。,fact,"1998,足球规则与规格,开幕式,法国","场地,足球规则与规格,科技",,,入门,,,全球,zh-CN,term,verified,,FIFA World Cup official records; documented match statistics,,2026-06-05
WC-VTEC-00022,场地装备与科技,足球规则与规格,足球规则与规格知识12,both,4,2002年世界杯足球规则与规格开幕式有何亮点?,2002足球规则与规格开幕式,2002年韩日主办，巴西夺冠，足球规则与规格在开幕式阶段有代表事件。,该届共161球，决赛横滨。,fact,"2002,足球规则与规格,开幕式,韩日","场地,足球规则与规格,科技",,,入门,,,全球,zh-CN,term,verified,,FIFA World Cup official records; documented match statistics,,2026-06-05
WC-VTEC-00023,场地装备与科技,足球规则与规格,足球规则与规格知识13,both,4,2006年世界杯足球规则与规格开幕式有何亮点?,2006足球规则与规格开幕式,2006年德国主办，意大利夺冠，足球规则与规格在开幕式阶段有代表事件。,该届共147球，决赛柏林。,fact,"2006,足球规则与规格,开幕式,德国","场地,足球规则与规格,科技",,,入门,,,全球,zh-CN,term,verified,,FIFA World Cup official records; documented match statistics,,2026-06-05
WC-VTEC-00024,场地装备与科技,足球规则与规格,足球规则与规格知识14,both,4,2010年世界杯足球规则与规格开幕式有何亮点?,2010足球规则与规格开幕式,2010年南非主办，西班牙夺冠，足球规则与规格在开幕式阶段有代表事件。,该届共145球，决赛约翰内斯堡。,fact,"2010,足球规则与规格,开幕式,南非","场地,足球规则与规格,科技",,,入门,,,全球,zh-CN,term,verified,,FIFA World Cup official records; documented match statistics,,2026-06-05
WC-VTEC-00025,场地装备与科技,足球规则与规格,足球规则与规格知识15,both,4,2014年世界杯足球规则与规格开幕式有何亮点?,2014足球规则与规格开幕式,2014年巴西主办，德国夺冠，足球规则与规格在开幕式阶段有代表事件。,该届共171球，决赛里约热内卢。,fact,"2014,足球规则与规格,开幕式,巴西","场地,足球规则与规格,科技",,,入门,,,全球,zh-CN,term,verified,,FIFA World Cup official records; documented match statistics,,2026-06-05
WC-VTEC-00026,场地装备与科技,足球规则与规格,足球规则与规格知识16,both,4,2018年世界杯足球规则与规格开幕式有何亮点?,2018足球规则与规格开幕式,2018年俄罗斯主办，法国夺冠，足球规则与规格在开幕式阶段有代表事件。,该届共169球，决赛莫斯科。,fact,"2018,足球规则与规格,开幕式,俄罗斯","场地,足球规则与规格,科技",,,入门,,,全球,zh-CN,term,verified,,FIFA World Cup official records; documented match statistics,,2026-06-05
WC-VTEC-00027,场地装备与科技,足球规则与规格,足球规则与规格知识17,both,4,2022年世界杯足球规则与规格开幕式有何亮点?,2022足球规则与规格开幕式,2022年卡塔尔主办，阿根廷夺冠，足球规则与规格在开幕式阶段有代表事件。,该届共172球，决赛卢赛尔。,fact,"2022,足球规则与规格,开幕式,卡塔尔","场地,足球规则与规格,科技",,,入门,,,全球,zh-CN,term,verified,,FIFA World Cup official records; documented match statistics,,2026-06-05
WC-VTEC-00028,场地装备与科技,足球规则与规格,足球规则与规格知识18,both,4,1930年世界杯足球规则与规格小组赛有何亮点?,1930足球规则与规格小组赛,1930年乌拉圭主办，乌拉圭夺冠，足球规则与规格在小组赛阶段有代表事件。,该届共70球，决赛蒙得维的亚。,fact,"1930,足球规则与规格,小组赛,乌拉圭","场地,足球规则与规格,科技",,,入门,,,全球,zh-CN,term,verified,,FIFA World Cup official records; documented match statistics,,2026-06-05
