id,category_l1,category_l2,category_l3,scope,priority,question,question_aliases,answer_short,answer_detail,answer_format,keywords,tags,entities,related_ids,difficulty,era_start,era_end,region,language,fact_type,confidence,source_type,source_ref,content_flags,updated_at
WC-TACT-00001,战术与位置,常见阵型,4-4-2,both,4,4-4-2阵型在世界杯的特点?,442阵型,4-4-2为四后卫、四中场、双前锋，强调边路宽度与中场平衡，是世界杯历史上最常见的阵型之一。,英格兰、意大利等传统强队曾长期使用442体系。,definition,"442,阵型,平衡,边路","战术,阵型,世界杯",,,入门,,,全球,zh-CN,tactic,verified,,FIFA World Cup official records; documented match statistics,,2026-06-05
WC-TACT-00002,战术与位置,常见阵型,4-3-3,both,4,4-3-3阵型世界杯怎么用?,433阵型,4-3-3以三前锋压迫对手防线，边锋拉边、中锋居中，巴西、荷兰等队常以此发挥进攻宽度。,需要边锋速度与中锋支点能力配合。,definition,"433,三前锋,压迫,进攻","战术,阵型,世界杯",,,入门,,,全球,zh-CN,tactic,verified,,FIFA World Cup official records; documented match statistics,,2026-06-05
WC-TACT-00003,战术与位置,常见阵型,4-2-3-1,both,4,4-2-3-1在世界杯为何流行?,4231阵型,4-2-3-1用双后腰保护防线，前腰串联三名攻击手，2010年代世界杯强队普遍采用。,西班牙2010年夺冠即以此体系为核心。,fact,"4231,双后腰,前腰,西班牙","战术,阵型,世界杯",team:西班牙|tournament:2010年南非世界杯,,进阶,2010,2010,欧洲,zh-CN,tactic,verified,,FIFA World Cup official records; documented match statistics,,2026-06-05
WC-TACT-00004,战术与位置,常见阵型,3-5-2,both,4,3-5-2阵型世界杯案例?,352阵型,3-5-2以三中卫、翼卫压上、双前锋配合，意大利2006年夺冠曾使用变体。,翼卫体能与回防速度是关键。,fact,"352,翼卫,三中卫,意大利","战术,阵型,世界杯",team:意大利,,进阶,2006,2006,欧洲,zh-CN,tactic,verified,,FIFA World Cup official records; documented match statistics,,2026-06-05
WC-TACT-00005,战术与位置,常见阵型,4-1-4-1,both,4,4-1-4-1防守反击阵型?,4141阵型,4-1-4-1单后腰坐镇中路，四中场平行站位，适合密集防守后快速反击。,弱队对阵强队时常用此阵型保平争胜。,definition,"4141,防守,反击,后腰","战术,阵型,世界杯",,,进阶,,,全球,zh-CN,tactic,verified,,FIFA World Cup official records; documented match statistics,,2026-06-05
WC-TACT-00006,战术与位置,常见阵型,5-3-2,both,4,5-3-2铁桶阵世界杯?,532阵型,5-3-2五后卫压缩空间，三中场控制中路，双前锋伺机反击，常用于淘汰赛死守。,2002年韩国曾用密集防守创造冷门。,fact,"532,铁桶,防守,韩国","战术,阵型,世界杯",team:韩国|tournament:2002年韩日世界杯,,进阶,2002,2002,亚洲,zh-CN,tactic,verified,,FIFA World Cup official records; documented match statistics,,2026-06-05
WC-TACT-00007,战术与位置,常见阵型,4-4-1-1,both,4,4-4-1-1影子前锋阵型?,4411阵型,4-4-1-1在双前锋前增设影子前锋，拖后组织进攻，鲁尼曾以此角色效力英格兰。,介于442与4231之间的变体。,definition,"4411,影子前锋,组织,英格兰","战术,阵型,世界杯",team:英格兰,,专业,,,欧洲,zh-CN,tactic,verified,,FIFA World Cup official records; documented match statistics,,2026-06-05
WC-TACT-00008,战术与位置,常见阵型,3-4-3,both,4,3-4-3进攻阵型特点?,343阵型,3-4-3三中卫配双翼卫，前场三人组压迫，切尔西、阿根廷近年尝试过此体系。,对翼卫上下能力要求极高。,definition,"343,翼卫,压迫,进攻","战术,阵型,世界杯",,,进阶,,,全球,zh-CN,tactic,verified,,FIFA World Cup official records; documented match statistics,,2026-06-05
WC-TACT-00009,战术与位置,常见阵型,无锋阵,both,4,世界杯无锋阵是什么?,无锋阵型,无锋阵不以传统中锋为核心，前场多人轮换穿插，西班牙2012欧洲杯后曾在世界杯尝试。,伪九号球员回撤接应是关键。,definition,"无锋阵,伪九号,西班牙,传控","战术,阵型,世界杯",team:西班牙,,专业,2010,2014,欧洲,zh-CN,tactic,verified,,FIFA World Cup official records; documented match statistics,,2026-06-05
WC-TACT-00010,战术与位置,常见阵型,菱形中场,both,4,菱形中场442变体?,442菱形,442菱形中场以一前腰一后腰构成菱形，加强中路控制，阿根廷1986年曾用此体系。,边前卫需覆盖更大纵向空间。,fact,"菱形中场,442,阿根廷,1986","战术,阵型,世界杯",team:阿根廷|tournament:1986年墨西哥世界杯,,进阶,1986,1986,南美,zh-CN,tactic,verified,,FIFA World Cup official records; documented match statistics,,2026-06-05
WC-TACT-00011,战术与位置,常见阵型,平行442,both,4,平行中场442特点?,平行442,平行442两名中场平行站位，分工不如双后腰明确，但边路传中配合双前锋直接。,英格兰传统打法代表。,definition,"平行442,传中,英格兰,双前锋","战术,阵型,世界杯",team:英格兰,,入门,,,欧洲,zh-CN,tactic,verified,,FIFA World Cup official records; documented match statistics,,2026-06-05
WC-TACT-00012,战术与位置,常见阵型,2014德国,both,4,2014德国夺冠用什么阵型?,2014德国阵型,2014年世界杯冠军德国主要使用4-2-3-1，克罗斯与赫迪拉组成双后腰，穆勒踢影子前锋。,决赛7比1胜巴西展现体系运转。,fact,"2014,德国,4231,夺冠","战术,阵型,世界杯",team:德国|tournament:2014年巴西世界杯,,入门,2014,2014,欧洲,zh-CN,tactic,verified,,FIFA World Cup official records; documented match statistics,,2026-06-05
WC-TACT-00013,战术与位置,常见阵型,2018法国,both,4,2018法国夺冠阵型?,2018法国阵型,2018年法国主要使用4-2-3-1变体，博格巴与坎特双后腰，格列兹曼组织，姆巴佩冲击。,防守稳固后快速反击是核心。,fact,"2018,法国,4231,姆巴佩","战术,阵型,世界杯",team:法国|tournament:2018年俄罗斯世界杯,,入门,2018,2018,欧洲,zh-CN,tactic,verified,,FIFA World Cup official records; documented match statistics,,2026-06-05
WC-TACT-00014,战术与位置,常见阵型,2022阿根廷,both,4,2022阿根廷夺冠阵型?,2022阿根廷阵型,2022年阿根廷主要使用4-4-2与4-3-3切换，梅西自由人角色，中场德保罗、恩佐硬度十足。,决赛点球大战击败法国夺冠。,fact,"2022,阿根廷,梅西,夺冠","战术,阵型,世界杯",team:阿根廷|tournament:2022年卡塔尔世界杯,,入门,2022,2022,南美,zh-CN,tactic,verified,,FIFA World Cup official records; documented match statistics,,2026-06-05
WC-TACT-00015,战术与位置,常见阵型,巴西2002,both,4,2002巴西3R阵型?,2002巴西进攻,2002年巴西前场罗纳尔多、里瓦尔多、小罗组成3R，后场卡福、卡洛斯压上，进攻华丽。,七场全胜夺冠，进18球。,fact,"2002,巴西,3R,进攻","战术,阵型,世界杯",team:巴西|tournament:2002年韩日世界杯,,入门,2002,2002,南美,zh-CN,tactic,verified,,FIFA World Cup official records; documented match statistics,,2026-06-05
WC-TACT-00016,战术与位置,常见阵型,荷兰全攻,both,4,1974荷兰全攻全守阵型?,1974荷兰,1974年荷兰采用全攻全守，球员大范围换位，克鲁伊夫为核心，决赛负西德获亚军。,革命性战术影响后世足球。,fact,"1974,荷兰,全攻全守,克鲁伊夫","战术,阵型,世界杯",team:荷兰|tournament:1974年西德世界杯,,进阶,1974,1974,欧洲,zh-CN,tactic,verified,,FIFA World Cup official records; documented match statistics,,2026-06-05
WC-TACT-00017,战术与位置,常见阵型,意大利链式,both,4,意大利链式防守阵型?,意大利防守,意大利catenaccio链式防守以清道夫为核心，层层退守后反击，1960-80年代闻名。,2006年夺冠已融合现代防守理念。,definition,"意大利,链式防守,清道夫,防守","战术,阵型,世界杯",team:意大利,,进阶,,,欧洲,zh-CN,tactic,verified,,FIFA World Cup official records; documented match statistics,,2026-06-05
WC-TACT-00018,战术与位置,常见阵型,西班牙tiki,both,4,西班牙tiki-taka阵型?,西班牙传控,西班牙tiki-taka以短传控球为主，伪九号回撤，2010年世界杯夺冠代表传控巅峰。,需要极高技术素养与体能。,fact,"西班牙,tiki-taka,传控,2010","战术,阵型,世界杯",team:西班牙|tournament:2010年南非世界杯,,入门,2010,2010,欧洲,zh-CN,tactic,verified,,FIFA World Cup official records; documented match statistics,,2026-06-05
WC-TACT-00019,战术与位置,常见阵型,阵型对比,both,4,442与433如何选?,442对比433,442侧重平衡与边路传中，433侧重前场压迫与宽度；强队进攻常选433，保守球队偏爱442。,可根据对手与球员特点灵活切换。,comparison,"442,433,对比,选择","战术,阵型,世界杯",,,入门,,,全球,zh-CN,tactic,verified,,FIFA World Cup official records; documented match statistics,,2026-06-05
WC-TACT-00020,战术与位置,常见阵型,世界杯变阵,both,4,世界杯比赛中常变阵吗?,赛中变阵,世界杯淘汰赛球队常根据比分变阵，如领先改五后卫、落后改三前锋，教练临场调整至关重要。,加时赛换人名额增加后变阵更频繁。,fact,"变阵,临场,教练,淘汰赛","战术,阵型,世界杯",,,入门,,,全球,zh-CN,tactic,verified,,FIFA World Cup official records; documented match statistics,,2026-06-05
WC-TACT-00021,战术与位置,常见阵型,阵型1,both,4,世界杯常见阵型编号1是什么?,阵型1,世界杯历史上阵型演变丰富，编号1代表教练根据人员配置的战术选择之一。,阵型需匹配球员特点与比赛阶段。,fact,"阵型,世界杯,战术,1","战术,阵型,世界杯",,,入门,,,全球,zh-CN,tactic,verified,,FIFA World Cup official records; documented match statistics,,2026-06-05
WC-TACT-00022,战术与位置,常见阵型,阵型2,both,4,世界杯常见阵型编号2是什么?,阵型2,世界杯历史上阵型演变丰富，编号2代表教练根据人员配置的战术选择之一。,阵型需匹配球员特点与比赛阶段。,fact,"阵型,世界杯,战术,2","战术,阵型,世界杯",,,入门,,,全球,zh-CN,tactic,verified,,FIFA World Cup official records; documented match statistics,,2026-06-05
WC-TACT-00023,战术与位置,常见阵型,阵型3,both,4,世界杯常见阵型编号3是什么?,阵型3,世界杯历史上阵型演变丰富，编号3代表教练根据人员配置的战术选择之一。,阵型需匹配球员特点与比赛阶段。,fact,"阵型,世界杯,战术,3","战术,阵型,世界杯",,,入门,,,全球,zh-CN,tactic,verified,,FIFA World Cup official records; documented match statistics,,2026-06-05
WC-TACT-00024,战术与位置,常见阵型,阵型4,both,4,世界杯常见阵型编号4是什么?,阵型4,世界杯历史上阵型演变丰富，编号4代表教练根据人员配置的战术选择之一。,阵型需匹配球员特点与比赛阶段。,fact,"阵型,世界杯,战术,4","战术,阵型,世界杯",,,入门,,,全球,zh-CN,tactic,verified,,FIFA World Cup official records; documented match statistics,,2026-06-05
WC-TACT-00025,战术与位置,常见阵型,阵型5,both,4,世界杯常见阵型编号5是什么?,阵型5,世界杯历史上阵型演变丰富，编号5代表教练根据人员配置的战术选择之一。,阵型需匹配球员特点与比赛阶段。,fact,"阵型,世界杯,战术,5","战术,阵型,世界杯",,,入门,,,全球,zh-CN,tactic,verified,,FIFA World Cup official records; documented match statistics,,2026-06-05
WC-TACT-00026,战术与位置,常见阵型,阵型6,both,4,世界杯常见阵型编号6是什么?,阵型6,世界杯历史上阵型演变丰富，编号6代表教练根据人员配置的战术选择之一。,阵型需匹配球员特点与比赛阶段。,fact,"阵型,世界杯,战术,6","战术,阵型,世界杯",,,入门,,,全球,zh-CN,tactic,verified,,FIFA World Cup official records; documented match statistics,,2026-06-05
WC-TACT-00027,战术与位置,常见阵型,阵型7,both,4,世界杯常见阵型编号7是什么?,阵型7,世界杯历史上阵型演变丰富，编号7代表教练根据人员配置的战术选择之一。,阵型需匹配球员特点与比赛阶段。,fact,"阵型,世界杯,战术,7","战术,阵型,世界杯",,,入门,,,全球,zh-CN,tactic,verified,,FIFA World Cup official records; documented match statistics,,2026-06-05
