id,category_l1,category_l2,category_l3,scope,priority,question,question_aliases,answer_short,answer_detail,answer_format,keywords,tags,entities,related_ids,difficulty,era_start,era_end,region,language,fact_type,confidence,source_type,source_ref,content_flags,updated_at
WC-HLTH-00001,健康与训练,常见运动伤病科普,常见运动伤病科普要点1,both,4,世界杯球员最常见伤病?,常见伤病,肌肉拉伤、韧带损伤与碰撞伤是世界杯最常见伤病。,赛程密集增加受伤风险。,fact,"伤病,肌肉,拉伤,世界杯","健康,常见运动伤病科普,科普",,,入门,,,全球,zh-CN,term,verified,,FIFA World Cup official records; documented match statistics,,2026-06-05
WC-HLTH-00002,健康与训练,常见运动伤病科普,常见运动伤病科普要点2,both,4,十字韧带撕裂恢复多久?,十字韧带,十字韧带撕裂通常需数月到一年恢复，世界杯前受伤可能缺席。,2014年有多名球星因此缺阵。,fact,"十字韧带,恢复,伤病,膝盖","健康,常见运动伤病科普,科普",,,入门,,,全球,zh-CN,term,verified,,FIFA World Cup official records; documented match statistics,,2026-06-05
WC-HLTH-00003,健康与训练,常见运动伤病科普,常见运动伤病科普要点3,both,4,世界杯脑震荡协议?,脑震荡,FIFA要求疑似脑震荡球员强制离场评估，保护球员健康。,2014年后规则更严格。,fact,"脑震荡,协议,FIFA,健康","健康,常见运动伤病科普,科普",,,入门,,,全球,zh-CN,term,verified,,FIFA World Cup official records; documented match statistics,,2026-06-05
WC-HLTH-00004,健康与训练,常见运动伤病科普,常见运动伤病科普要点4,both,4,脚踝扭伤如何处理?,脚踝扭伤,脚踝扭伤需冰敷、固定与分级康复，严重者可缺席多场比赛。,世界杯赛程紧康复压力大。,fact,"脚踝,扭伤,康复,伤病","健康,常见运动伤病科普,科普",,,入门,,,全球,zh-CN,term,verified,,FIFA World Cup official records; documented match statistics,,2026-06-05
WC-HLTH-00005,健康与训练,常见运动伤病科普,常见运动伤病科普要点5,both,4,哈姆string拉伤是什么?,腘绳肌,腘绳肌拉伤是足球常见伤，冲刺与射门易触发。,需要充分热身与负荷管理。,fact,"腘绳肌,拉伤,冲刺,伤病","健康,常见运动伤病科普,科普",,,入门,,,全球,zh-CN,term,verified,,FIFA World Cup official records; documented match statistics,,2026-06-05
WC-HLTH-00006,健康与训练,常见运动伤病科普,常见运动伤病科普要点6,both,4,1930年世界杯常见运动伤病科普开幕式有何亮点?,1930常见运动伤病科普开幕式,1930年乌拉圭主办，乌拉圭夺冠，常见运动伤病科普在开幕式阶段有代表事件。,该届共70球，决赛蒙得维的亚。,fact,"1930,常见运动伤病科普,开幕式,乌拉圭","健康,常见运动伤病科普,科普",,,入门,,,全球,zh-CN,term,verified,,FIFA World Cup official records; documented match statistics,,2026-06-05
WC-HLTH-00007,健康与训练,常见运动伤病科普,常见运动伤病科普要点7,both,4,1934年世界杯常见运动伤病科普开幕式有何亮点?,1934常见运动伤病科普开幕式,1934年意大利主办，意大利夺冠，常见运动伤病科普在开幕式阶段有代表事件。,该届共70球，决赛罗马。,fact,"1934,常见运动伤病科普,开幕式,意大利","健康,常见运动伤病科普,科普",,,入门,,,全球,zh-CN,term,verified,,FIFA World Cup official records; documented match statistics,,2026-06-05
WC-HLTH-00008,健康与训练,常见运动伤病科普,常见运动伤病科普要点8,both,4,1938年世界杯常见运动伤病科普开幕式有何亮点?,1938常见运动伤病科普开幕式,1938年法国主办，意大利夺冠，常见运动伤病科普在开幕式阶段有代表事件。,该届共84球，决赛巴黎。,fact,"1938,常见运动伤病科普,开幕式,法国","健康,常见运动伤病科普,科普",,,入门,,,全球,zh-CN,term,verified,,FIFA World Cup official records; documented match statistics,,2026-06-05
WC-HLTH-00009,健康与训练,常见运动伤病科普,常见运动伤病科普要点9,both,4,1950年世界杯常见运动伤病科普开幕式有何亮点?,1950常见运动伤病科普开幕式,1950年巴西主办，乌拉圭夺冠，常见运动伤病科普在开幕式阶段有代表事件。,该届共88球，决赛里约热内卢。,fact,"1950,常见运动伤病科普,开幕式,巴西","健康,常见运动伤病科普,科普",,,入门,,,全球,zh-CN,term,verified,,FIFA World Cup official records; documented match statistics,,2026-06-05
WC-HLTH-00010,健康与训练,常见运动伤病科普,常见运动伤病科普要点10,both,4,1954年世界杯常见运动伤病科普开幕式有何亮点?,1954常见运动伤病科普开幕式,1954年瑞士主办，西德夺冠，常见运动伤病科普在开幕式阶段有代表事件。,该届共140球，决赛伯尔尼。,fact,"1954,常见运动伤病科普,开幕式,瑞士","健康,常见运动伤病科普,科普",,,入门,,,全球,zh-CN,term,verified,,FIFA World Cup official records; documented match statistics,,2026-06-05
