id,category_l1,category_l2,category_l3,scope,priority,question,question_aliases,answer_short,answer_detail,answer_format,keywords,tags,entities,related_ids,difficulty,era_start,era_end,region,language,fact_type,confidence,source_type,source_ref,content_flags,updated_at
WC-NTEM-00001,国家队与地域,巴西,队名概览,world_cup,4,巴西国家队叫什么?,Seleção|巴西队,巴西男子国家队通称Seleção，中文常称巴西队或桑巴军团。,隶属巴西足协CBF，代表巴西参加国际A级赛事。,fact,"巴西,国家队,Seleção,概览","国家队,巴西,南美",team:巴西,,入门,,,南美,zh-CN,history,official,historical_record,FIFA / CBF official records and historical archives,,2026-06-04
WC-NTEM-00002,国家队与地域,巴西,绰号桑巴军团,world_cup,4,桑巴军团指哪支球队?,桑巴军团|Samba Boys,桑巴军团是巴西国家队的经典中文绰号。,得名于巴西桑巴文化与进攻足球风格。,fact,"桑巴军团,绰号,巴西,风格","国家队,巴西,南美",team:巴西,,入门,,,南美,zh-CN,history,official,historical_record,FIFA / CBF official records and historical archives,,2026-06-04
WC-NTEM-00003,国家队与地域,巴西,绰号金丝雀,world_cup,4,巴西队为何叫金丝雀?,Canarinho|小金丝雀,Canarinho意为小金丝雀，因黄绿球衣配色得名。,与巴西国旗黄绿主色相呼应。,fact,"金丝雀,Canarinho,球衣,黄绿","国家队,巴西,南美",team:巴西,,入门,,,南美,zh-CN,history,official,historical_record,FIFA / CBF official records and historical archives,,2026-06-04
WC-NTEM-00004,国家队与地域,巴西,五星巴西,world_cup,4,五星巴西是什么意思?,五颗星|五星,球衣五颗星代表巴西五次世界杯冠军。,1994、2002夺冠后逐步绣上第四、第五颗星。,fact,"五星,冠军,球衣,星星","国家队,巴西,南美",team:巴西,,入门,,,南美,zh-CN,history,official,historical_record,FIFA / CBF official records and historical archives,,2026-06-04
WC-NTEM-00005,国家队与地域,巴西,所属足联,world_cup,4,巴西队属于哪个足联?,CONMEBOL|南美足联,巴西隶属南美洲足球联合会CONMEBOL。,南美足联总部设于巴拉圭。,fact,"CONMEBOL,南美,足联,巴西","国家队,巴西,南美",team:巴西,,入门,,,南美,zh-CN,history,official,historical_record,FIFA / CBF official records and historical archives,,2026-06-04
WC-NTEM-00006,国家队与地域,巴西,足协名称,world_cup,4,巴西足球协会叫什么?,CBF|巴西足协,巴西足球协会葡文简称CBF。,1914年成立，负责国家队与联赛管理。,fact,"CBF,足协,巴西,1914","国家队,巴西,南美",team:巴西,,入门,,,南美,zh-CN,history,official,historical_record,FIFA / CBF official records and historical archives,,2026-06-04
WC-NTEM-00007,国家队与地域,巴西,FIFA代码,world_cup,4,巴西队FIFA三字码?,BRA代码,巴西国家队FIFA代码为BRA。,国际赛事与数据系统统一使用该码。,fact,"BRA,FIFA,代码,巴西","国家队,巴西,南美",team:巴西,,入门,,,南美,zh-CN,history,official,historical_record,FIFA / CBF official records and historical archives,,2026-06-04
WC-NTEM-00008,国家队与地域,巴西,主色球衣,world_cup,4,巴西队主场球衣颜色?,黄衫|主场球衣,巴西队传统主场球衣为黄色，配绿色细节。,客场常用蓝色或白色球衣。,fact,"球衣,黄色,主场,巴西","国家队,巴西,南美",team:巴西,,入门,,,南美,zh-CN,history,official,historical_record,FIFA / CBF official records and historical archives,,2026-06-04
WC-NTEM-00009,国家队与地域,巴西,世界杯冠军次数,world_cup,4,巴西队几次世界杯冠军?,巴西几冠|冠军次数,巴西队五次夺得世界杯冠军，为历史最多。,分别于1958、1962、1970、1994、2002年夺冠。,fact,"巴西,五冠,世界杯,冠军","国家队,巴西,南美",team:巴西,,入门,,,南美,zh-CN,record,official,historical_record,FIFA / CBF official records and historical archives,,2026-06-04
WC-NTEM-00010,国家队与地域,巴西,1958首冠,world_cup,4,巴西1958年世界杯成绩?,1958巴西冠军,1958年瑞典世界杯巴西首次夺冠。,17岁贝利决赛进球，开启王朝。,fact,"1958,首冠,贝利,瑞典","国家队,巴西,南美",team:巴西|player:贝利,,入门,1958,1958,南美,zh-CN,history,official,historical_record,FIFA / CBF official records and historical archives,,2026-06-04
