id,category_l1,category_l2,category_l3,scope,priority,question,question_aliases,answer_short,answer_detail,answer_format,keywords,tags,entities,related_ids,difficulty,era_start,era_end,region,language,fact_type,confidence,source_type,source_ref,content_flags,updated_at
WC-DISC-00001,裁判与纪律,黄牌规则,黄牌规则要点1,both,4,黄牌警告的法定情形有哪些?,黄牌情形,故意犯规、抗议裁判、拖延比赛、非体育道德行为等可出示黄牌。,IFAB《足球竞赛规则》第12条列明警告行为，世界杯执行同一标准。,fact,"黄牌,警告,IFAB,犯规","纪律,黄牌规则,裁判",,,入门,,,全球,zh-CN,rule,verified,,FIFA World Cup official records; documented match statistics,,2026-06-05
WC-DISC-00002,裁判与纪律,黄牌规则,黄牌规则要点2,both,4,世界杯球员累计两张黄牌会怎样?,两黄停赛,同队不同场次累计两张黄牌，下一场停赛一场。,黄牌累计跨场次计算，停赛期满后可复出。,fact,"黄牌,累计,停赛,世界杯","纪律,黄牌规则,裁判",,,入门,,,全球,zh-CN,rule,verified,,FIFA World Cup official records; documented match statistics,,2026-06-05
WC-DISC-00003,裁判与纪律,黄牌规则,黄牌规则要点3,both,4,同一场比赛两张黄牌是否等于红牌?,两黄变一红,同场第二张黄牌自动变为红牌，球员当即离场且球队减一人。,两黄变一红后通常停赛一场，严重犯规可追加处罚。,fact,"两黄,红牌,离场,减员","纪律,黄牌规则,裁判",,,入门,,,全球,zh-CN,rule,verified,,FIFA World Cup official records; documented match statistics,,2026-06-05
WC-DISC-00004,裁判与纪律,黄牌规则,黄牌规则要点4,both,4,对裁判判罚不满可以抗议吗?,抗议黄牌,对判罚激烈抗议、围攻裁判或做出挑衅手势，裁判可出黄牌。,队长应理性沟通，过激行为影响球队纪律。,fact,"抗议,裁判,黄牌,纪律","纪律,黄牌规则,裁判",,,入门,,,全球,zh-CN,rule,verified,,FIFA World Cup official records; documented match statistics,,2026-06-05
WC-DISC-00005,裁判与纪律,黄牌规则,黄牌规则要点5,both,4,门将拖延时间会被黄牌吗?,拖延时间,门将持球超过6秒、开球或发界外球故意拖延，可被黄牌警告。,2018年俄罗斯世界杯起加强对此类行为的执法。,fact,"拖延,门将,6秒,黄牌","纪律,黄牌规则,裁判",,,入门,,,全球,zh-CN,rule,verified,,FIFA World Cup official records; documented match statistics,,2026-06-05
WC-DISC-00006,裁判与纪律,黄牌规则,黄牌规则要点6,both,4,替补球员未进场就抗议会被罚吗?,替补黄牌,替补席球员或未被换上场者过激抗议，裁判可向替补出示黄牌。,替补黄牌同样计入球队与球员纪律统计。,fact,"替补,黄牌,替补席,抗议","纪律,黄牌规则,裁判",,,入门,,,全球,zh-CN,rule,verified,,FIFA World Cup official records; documented match statistics,,2026-06-05
WC-DISC-00007,裁判与纪律,黄牌规则,黄牌规则要点7,both,4,假摔骗点球会被黄牌吗?,假摔黄牌,明显假摔企图骗取任意球或点球，裁判可判假摔并出示黄牌。,VAR时代仍依赖主裁现场判断，回放可纠正点球误判。,fact,"假摔,黄牌,VAR,点球","纪律,黄牌规则,裁判",,,入门,,,全球,zh-CN,rule,verified,,FIFA World Cup official records; documented match statistics,,2026-06-05
WC-DISC-00008,裁判与纪律,黄牌规则,黄牌规则要点8,both,4,脱下球衣庆祝为何吃黄牌?,脱衣庆祝,脱下球衣庆祝违反规则，几乎一律黄牌；内搭信息衫亦可能被罚。,2010年后规则严格执行，球员应用其他方式庆祝。,fact,"脱衣,庆祝,黄牌,规则","纪律,黄牌规则,裁判",,,入门,,,全球,zh-CN,rule,verified,,FIFA World Cup official records; documented match statistics,,2026-06-05
WC-DISC-00009,裁判与纪律,黄牌规则,黄牌规则要点9,both,4,战术犯规为什么常得黄牌?,战术犯规,破坏对方明显进攻机会的非严重犯规，通常黄牌；严重者可直红。,俗称「专业犯规」，世界杯淘汰赛尤为常见。,fact,"战术犯规,黄牌,进攻,破坏","纪律,黄牌规则,裁判",,,入门,,,全球,zh-CN,rule,verified,,FIFA World Cup official records; documented match statistics,,2026-06-05
WC-DISC-00010,裁判与纪律,黄牌规则,黄牌规则要点10,both,4,手球犯规一定黄牌吗?,手球黄牌,故意手球或明显扩大防守面积的手球常判黄牌；禁区内或破坏进球机会可直红。,2019年后手球定义更强调自然位置与故意性。,fact,"手球,黄牌,禁区,故意","纪律,黄牌规则,裁判",,,入门,,,全球,zh-CN,rule,verified,,FIFA World Cup official records; documented match statistics,,2026-06-05
